藏品名称,藏品来源,年代,介绍,图片链接,详情链接
Eating Set,Gift of Mrs. Susan Palmer,undated,"This is a Ivory Eating Set, made of Ivory. Its accession number is 1965.89.d.1-7, and its dimensions are 12 3/4 in. x 1 in. x 11/16 in. (32.39 cm x 2.54 cm x 1.75 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1965.89d.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=520&objectName=Eating Set
Eating Set (knife and chopsticks),Gift of Mrs. Susan Palmer,undated,"This is a Ivory Eating Set, made of Ivory. Its accession number is 1965.89.e.1-7, and its dimensions are 15 3/4 in. x 2 in. x 1 1/8 in. (40.01 cm x 5.08 cm x 2.86 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1965.89e.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=521&objectName=Eating Set (knife and chopsticks)
Egg Cup (with stand),Bequest of Emile Leonard Schoppe,1736-1796,"This is a Porcelain Cup, made of Porcelain. Its accession number is 1953.18, and its dimensions are 2 11/16 in. x 2 15/16 in. x 2 15/16 in. (6.83 cm x 7.46 cm x 7.46 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1953.18.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=522&objectName=Egg Cup (with stand)
Eggplant,Gift of Edker and Blanche Pope,18th century-19th century,"This is a Jade Sculpture, made of Nephrite. Its accession number is 1991.181, and its dimensions are 1 in. x 2 7/8 in. x 1 1/8 in. (2.54 cm x 7.3 cm x 2.86 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1991.181.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=523&objectName=Eggplant
Egret and hibiscus,Donor unknown,14th century,"This is a album leaf, made of Painting on silk. Its accession number is 1987.7.4, and its dimensions are 14 3/8 x 14 1/2 in. (37 x 37 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1987-7-4.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=524&objectName=Egret and hibiscus
Elephant,Gift of Mrs. John Sheafe Douglas,16th century-17th century,"This is a Jade Sculpture, made of Nephrite. Its accession number is 1955.55, and its dimensions are 3 5/8 in. x 4 1/16 in. x 2 1/8 in. (9.21 cm x 10.32 cm x 5.4 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1955.55.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=525&objectName=Elephant
Elephant Tusk,Gift of Colonel and Mrs. A. C. Johansson,undated,"This is a Ivory Tusk, made of Ivory. Its accession number is 1981.27, and its dimensions are 16 3/4 in. x 2 1/16 in. x 1 11/16 in. (42.55 cm x 5.24 cm x 4.29 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1981.27.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=526&objectName=Elephant Tusk
Equestrienne,Gift of Dr. Paul S. Anderson in memory of Donal Hord,7th century,"This is a Ceramic Sculpture, made of Earthenware. Its accession number is 1966.195, and its dimensions are 12 3/8 in. x 9 1/4 in. x 3 3/4 in. (31.43 cm x 23.5 cm x 9.53 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1966.195.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=527&objectName=Equestrienne
Eunuch,,undated,"This is a Puppet, made of Leather. Its accession number is 1924.738.14, and its dimensions are 23 in. x 17 1/2 in. (58.42 cm x 44.45 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-738-14.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=528&objectName=Eunuch
Evacuation,MoPA - Gift of Cam & Wanda Garner,12/22/1948,"This is a photograph, made of gelatin silver print on paper. Its accession number is M.2002.031.047, and its dimensions are 9 1/2 x 6 3/8 in. (241.3 x 161.93 mm).",https://collection.sdmart.org/Media/Previews/MOPA_Embark_Object_Photos/Color Corrected JPG/2001-2010_MOPA_JPG_Embark_Object/M.2002.031.047(7x5_AdobeRGB.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=529&objectName=Evacuation
Evening glow; half the mountain in shadow,Gift of the Asian Arts Council,20th century,"This is a Folio Painting, made of Ink and Color on paper. Its accession number is 1954.29.c, and its dimensions are 10 1/4 in. x 8 in. (26.04 cm x 20.32 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1954-29-c.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=530&objectName=Evening glow; half the mountain in shadow
Evening on Li-Shan,Gift of Ambassador and Mrs. Everett F. Drumright,1962,"This is a Painting Folio, made of Ink and colors on paper. Its accession number is 1994.26.13, and its dimensions are 17 1/4 in. x 13 1/8 in. (43.82 cm x 33.34 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1994-26-13.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=531&objectName=Evening on Li-Shan
Evening Return from Farming,Gift of Ambassador and Mrs. Everett F. Drumright,1958,"This is a Scroll Painting, made of Watercolor. Its accession number is 1994.27, and its dimensions are 12 1/2 in. x 25 15/16 in. (31.75 cm x 65.88 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1994-27.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=532&objectName=Evening Return from Farming
Ewer,Gift of Dr. Paul S. Anderson,18th century,"This is a Porcelain Ewer, made of Porcelain. Its accession number is 1966.194, and its dimensions are 8 1/8 in. x 6 1/8 in. x 4 1/4 in. (20.64 cm x 15.56 cm x 10.8 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1966.194.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=533&objectName=Ewer
Ewer,Gift of Dr. and Mrs. Charles A. Breitenbach,2nd half 14th century,"This is a Ceramic Ewer, made of Quingbai ware. Its accession number is 1995.102, and its dimensions are 4 3/8 in. x 3 7/16 in. x 1 3/4 in. (11.11 cm x 8.73 cm x 4.45 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1995.102.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=534&objectName=Ewer
Ewer,Gift of Mrs. Carlos Jos茅 Tavares,13th century,"This is a Porcelain Ewer, made of Quingbai ware. Its accession number is 1994.93, and its dimensions are 4 1/4 in. x 3 1/2 in. (10.8 cm x 8.89 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1994.93.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=535&objectName=Ewer
Ewer,Gift of Col. and Mrs. Francis E. Gillette,907-1125,"This is a Ceramic Ewer, made of Ceramic. Its accession number is 1981.64, and its dimensions are 9 3/4 in. x 4 13/16 in. x 5 3/16 in. (24.77 cm x 12.22 cm x 13.18 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1981.64.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=536&objectName=Ewer
Ewer,Gift of Mrs H. W. Todd in memory of Irma Rombauer,undated,"This is a Ceramic Ewer, made of Canton export ware. Its accession number is 1965.63, and its dimensions are 3 9/16 in. x 6 1/2 in. x 4 3/8 in. (9.05 cm x 16.51 cm x 11.11 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1965.63.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=537&objectName=Ewer
Ewer ,Gift of Dr. and Mrs. Charles A. Breitenbach,1st half 14th century,"This is a Ceramic Ewer, made of Quingbai ware. Its accession number is 1995.100.a, and its dimensions are 4 1/2 in. x 4 in. x 2 5/8 in. (11.43 cm x 10.16 cm x 6.67 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1995.100a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=538&objectName=Ewer 
Ewer (with cover),Gift of the Harold B. Canavan Family,ca. 1900,"This is a Jade Ewer, made of Jade. Its accession number is 1988.13.a-b, and its dimensions are 8 7 /16 x 4 13/16 in. x 3 1/8 in. (21.27 cm x 12.22 cm x 7.94 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1988.13.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=539&objectName=Ewer (with cover)
Ewer (with helmet urn design),Gift of Mrs. H. P. Belcher through Mr. George C. Waterman,ca. 1790-1810,"This is a Porcelain Ewer, made of Porcelain. Its accession number is 1938.203, and its dimensions are 5 3/16 in. x 6 1/8 in. x 3 1/2 in. (13.18 cm x 15.56 cm x 8.89 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1938.203.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=540&objectName=Ewer (with helmet urn design)
Ewer (with moulded design),Gift of Dr. and Mrs. Charles A. Breitenbach,undated,"This is a Porcelain Ewer, made of Jingdezhen qingbai ware. Its accession number is 1995.101, and its dimensions are 4 1/2 in. x 1 1/2 in. x 4 1/8 in. (11.43 cm x 3.81 cm x 10.48 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1995.101.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=541&objectName=Ewer (with moulded design)
"Faces of China, Chengtu, China",MoPA - Bequest of the Lou Stoumen Estate,1944,"This is a photograph, made of gelatin silver print on paper. Its accession number is M.1992.001.014, and its dimensions are in. (mm).",https://collection.sdmart.org/Media/Previews/MOPA_Embark_Object_Photos/Color Corrected JPG/1991-2000_MOPA_JPG_Embark_Object/M.1992.001.014.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=542&objectName=Faces of China, Chengtu, China"
"Famine victim, Hengyang, China",MoPA - Gift of Edward Etess,1946,"This is a photograph, made of gelatin silver print on paper. Its accession number is M.1983.062.021, and its dimensions are 12 1/8 x 9 in. (307.98 x 228.6 mm).",https://collection.sdmart.org/Media/Previews/MOPA_Embark_Object_Photos/Color Corrected JPG/1981-1990_MOPA_JPG_Embark_Object/M.1983.062.021(7x5_AdobeRGB.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=543&objectName=Famine victim, Hengyang, China"
Fan,Gift of Dr. and Mrs. Zang Z. Zao,mid 18th century,"This is a Satin Fan, made of Satin on wood frame. Its accession number is 1979.29, and its dimensions are 16 13/32 in. x 10 1/4 in. (41.7 cm x 26 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1979.29.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=544&objectName=Fan
Fan (with classical figures),Gift of Mrs. Robert W. Aborn,late 19th century,"This is a Silk Fan, made of Painted silk with mother-of-pearl frame. Its accession number is 1928.19, and its dimensions are 14 in. x 26 in. x 1 in. (35.56 cm x 66.04 cm x 2.54 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1928.19.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=545&objectName=Fan (with classical figures)
Fan (with figures in landscape on both sides),Gift of Mrs. W. R. Whiteford,late 19th century,"This is a Paper Fan, made of Paper. Its accession number is 1933.133.a, and its dimensions are 11 in. x 19 in. x 3/4 in. (27.94 cm x 48.26 cm x 1.91 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1933.133.a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=546&objectName=Fan (with figures in landscape on both sides)
Fan (with landscape design),Donor unknown,undated,"This is a Wood Fan, made of Sandalwood. Its accession number is 1924.668, and its dimensions are 7 7/8 in. x 13 in. x 1 1/4 in. (20 cm x 33.02 cm x 3.18 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924.668.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=547&objectName=Fan (with landscape design)
Fan (with landscapes on both sides),Bequest of Elsie S. Kimberly,20th century,"This is a Wood Fan, made of Wood. Its accession number is 1966.123, and its dimensions are 9 in. x 16 1/4 in. x 7/8 in. (22.86 cm x 41.28 cm x 2.22 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1966.123.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=548&objectName=Fan (with landscapes on both sides)
Fan (with lotus and poem),Anonymous gift,undated,"This is a Painted Fan, made of Ink and color on paper. Its accession number is 2007.94, and its dimensions are 12 in. x 18 in. x 1 in. (30.48 cm x 45.72 cm x 2.54 cm).",https://collection.sdmart.org/Media/Previews/2001-2010_Embark_Object_Photos/2007.94.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=549&objectName=Fan (with lotus and poem)
"Fan Case (with floral design, characters and hanging cord)",Gift of Mrs. Myrtle Shepherd Francis,undated,"This is a Satin Case, made of Satin. Its accession number is 1951.15.9, and its dimensions are 12 1/4 in. x 2 1/4 in. x 3/4 in. (31.12 cm x 5.72 cm x 1.91 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1951.15.9.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=550&objectName=Fan Case (with floral design, characters and hanging cord)"
Fan Case (with hanging cord),Gift of Mrs. Myrtle Shepherd Francis,undated,"This is a Case, made of Textile. Its accession number is 1951.15.8, and its dimensions are 12 1/4 in. x 2 1/2 in. x 1 in. (31.12 cm x 6.35 cm x 2.54 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1951.15.8.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=551&objectName=Fan Case (with hanging cord)
Fan Case (with lotus and cloud design and hanging cord),Gift of Mrs. Myrtle Shepherd Francis,undated,"This is a Satin Case, made of Satin. Its accession number is 1951.15.35.a, and its dimensions are 12 in. x 2 1/4 in. x 1 in. (30.48 cm x 5.72 cm x 2.54 cm).",https://collection.sdmart.org/Media/Previews/1951-1960_Embark_Object_Photos/1951.15.35.a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=552&objectName=Fan Case (with lotus and cloud design and hanging cord)
Fan Painting (with mustard seed garden),Gift of Benner and Mary Cummings,1850-1900,"This is a Fan Painting, made of Ink and color on bamboo paper. Its accession number is 1988.33, and its dimensions are 9 1/2 in. x 8 in. (24.13 cm x 20.32 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1988.33.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=553&objectName=Fan Painting (with mustard seed garden)
Female Daoist Immortal Holding a Fan,Gift of Mr. and Mrs. Archer M. Huntington,19th century,"This is a Hanging scroll, made of Ink on paper. Its accession number is 1938.250.a, and its dimensions are 56 in. x 36 in. (142.24 cm x 91.44 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1938-250-A.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=554&objectName=Female Daoist Immortal Holding a Fan
Female Figure,Gift of Mary Ann and Arnold Ginnow,1st century BCE-1st century,"This is a Ceramic Sculpture, made of Terracotta. Its accession number is 2003.92, and its dimensions are 16 1/2 in. x 11 in. x 7 3/4 in. (41.91 cm x 27.94 cm x 19.69 cm).",https://collection.sdmart.org/Media/Previews/2001-2010_Embark_Object_Photos/2003.92.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=555&objectName=Female Figure
Female figure holding a branch of peaches,Bequest of John Siglow,1700-1900,"This is a Jadeite Sculpture, made of Jadeite. Its accession number is 2018.14, and its dimensions are 11 1/2 x 5 7/8 x 3 1/2 in. (29 x 15 x 9 cm).",https://collection.sdmart.org/Media/Previews/2011-2020_Embark_Object_Photos/2018-14.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=556&objectName=Female figure holding a branch of peaches
Female Figures (ten album leaf paintings),Donor unknown,18th century-19th century,"This is a Painting Folio, made of Color on silk. Its accession number is 1987.8, and its dimensions are 12 1/8 in. x 9 3/16 in. x 1 1/16 in. (30.8 cm x 23.34 cm x 2.7 cm).",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=557&objectName=Female Figures (ten album leaf paintings)
Female Ghost,,undated,"This is a Puppet, made of Leather. Its accession number is 1924.738.17, and its dimensions are 20 in. x 19 1/4 in. (50.8 cm x 48.9 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-738-17.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=558&objectName=Female Ghost
Female Harlequin,,undated,"This is a Puppet, made of Leather. Its accession number is 1924.738.16, and its dimensions are 20 in. x 19 in. (50.8 cm x 48.26 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-738-16.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=559&objectName=Female Harlequin
Ferry,Victor Diaz Color Photography Collection,1980,"This is a Dye transfer print, made of Dye transfer on paper. Its accession number is 2015.386.2, and its dimensions are 9 13/16 x 14 13/16 in. (25 x 38 cm).",https://collection.sdmart.org/Media/Previews/2011-2020_Embark_Object_Photos/2015-386-2.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=560&objectName=Ferry
Fetish (with geometric design),Gift of Isamu Kawaguchi,19th century,"This is a Lacquer Fetish, made of Lacquered wood. Its accession number is 2006.67, and its dimensions are 4 13/16 in. x 1 11/16 in. x 3/8 in. (12.22 cm x 4.29 cm x 0.95 cm).",https://collection.sdmart.org/Media/Previews/2001-2010_Embark_Object_Photos/2006.67.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=561&objectName=Fetish (with geometric design)
Figure,Bequest of Harriet Sefton Campbell,undated,"This is a Stone Sculpture, made of Stone. Its accession number is 1938.216, and its dimensions are 3 in. x 1 3/4 in. x 1 1/8 in. (7.62 cm x 4.45 cm x 2.86 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1938.216.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=562&objectName=Figure
Figure (with stand),Bequest of Harriet Sefton Campbell,undated,"This is a Stone Sculpture, made of Lapis lazuli. Its accession number is 1938.209.a, and its dimensions are 3 in. x 2 5/16 in. x 1 3/8 in. (7.62 cm x 5.87 cm x 3.49 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1938.209.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=563&objectName=Figure (with stand)
Figure (with stand),Bequest of Harriet Sefton Campbell,undated,"This is a Stone Sculpture, made of Lapis lazuli. Its accession number is 1938.209.b, and its dimensions are 3 in. x 2 1/4 in. x 1 9/16 in. (7.62 cm x 5.72 cm x 3.97 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1938.209b.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=564&objectName=Figure (with stand)
Figure of Lu Tungpin (with fly whisk and sword attributes),Anonymous gift in loving memory of Evelyn H. Ornstein,late 19th century-early 20th century,"This is a Ivory Sculpture, made of Ivory. Its accession number is 1994.197, and its dimensions are 7 15/16 in. x 2 3/4 in. x 2 3/16 in. (20.16 cm x 6.99 cm x 5.56 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1994.197.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=565&objectName=Figure of Lu Tungpin (with fly whisk and sword attributes)
Figures and horses (bi-level ),Gift of Carlotta Mabury,undated,"This is a Ivory Sculpture, made of Ivory. Its accession number is 1938.231, and its dimensions are 3 11/16 in. x 1 1/4 in. x 1 1/16 in. (9.37 cm x 3.18 cm x 2.7 cm).",https://collection.sdmart.org/Media/Previews/1930-1940_Embark_Object_Photos/1938.231.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=566&objectName=Figures and horses (bi-level )
Fingernail protector,Gift of Virginia Kincaid Huschke,19th century,"This is a nan, made of Silver with pearl and enamel. Its accession number is 2010.229, and its dimensions are 3 1/2 in. (8.89 cm).",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=567&objectName=Fingernail protector
Fingernail Protector,Bequest of Elsie S. Kimberly,19th century,"This is a Silver Jewelry, made of Silver with pearls and gemstones. Its accession number is 1966.154.a, and its dimensions are 3 1/8 in. x 7/16 in. x 3/4 in. (7.94 cm x 1.11 cm x 1.91 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1966.154a-b.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=568&objectName=Fingernail Protector
Fingernail Protector,Bequest of Mildred E. Wuest,1875-1920,"This is a Metal Jewelry, made of Metal. Its accession number is 1968.52.a.9, and its dimensions are 3 1/2 in. x 5/8 in. x 5/8 in. (8.89 cm x 1.59 cm x 1.59 cm).",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=569&objectName=Fingernail Protector
Fingernail Protector,Bequest of Mildred E. Wuest,1875-1920,"This is a Metal Jewelry, made of Metal. Its accession number is 1968.52.a.10, and its dimensions are 3 3/8 in. x 11/16 in. x 7/8 in. (8.57 cm x 1.75 cm x 2.22 cm).",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=570&objectName=Fingernail Protector
Fingernail Protector,Bequest of Elsie S. Kimberly,19th century,"This is a Silver Jewelry, made of Silver with pearls and gemstones. Its accession number is 1966.154.b, and its dimensions are 3 1/8 in. x 9/16 in. x 5/8 in. (7.94 cm x 1.43 cm x 1.59 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1966.154.b.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=571&objectName=Fingernail Protector
Fisherman,"Gift of Mr. S. M. Hsiao, Hong Kong",20th century,"This is a Scroll Painting, made of Ink on paper, hanging scroll. Its accession number is 1964.71.8, and its dimensions are 37 7/8  x 12 11/16 in. (96.2  x 32.23 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1964-71-8.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=572&objectName=Fisherman
"Fishermen in Boats, Reveling on the Edge of a River",Museum purchase with funds provided by  Mrs. Frederick G. Jackson in memory of Mr. Frederick G. Jackson,late 16th century - early 17th century,"This is a Fan Painting, made of Ink and color on gold paper; mounted on board. Its accession number is 1968.73.j, and its dimensions are 6 3/4  x 19 7/8 in. (17.15  x 50.48 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1968.73.j.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=573&objectName=Fishermen in Boats, Reveling on the Edge of a River"
Fishing on a Snowy River,Found in Inventory,19th century - 20th century,"This is a Folio Painting, made of Ink on silk. Its accession number is 1985.42, and its dimensions are 9 1/4 in. x 8 3/4 in. (23.5 cm x 22.23 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1985.42.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=574&objectName=Fishing on a Snowy River
Five-person Ancestor Portrait,Gift of Virginia Kincaid Huschke,late 19th century-early 20th century,"This is a nan, made of Opaque watercolor on paper. Its accession number is 2010.224, and its dimensions are 46 1/4 in. x 31 1/8 in. (117.48 cm x 79.06 cm).",https://collection.sdmart.org/Media/Previews/2001-2010_Embark_Object_Photos/2010.224.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=575&objectName=Five-person Ancestor Portrait
Flask,Gift of Mr. and Mrs. Watson G. Thoms,475 BCE-221 BCE,"This is a Bronze Flask, made of Bronze. Its accession number is 1991.44, and its dimensions are 14 7/16 in. x 13 3/8 in. x 4 3/8 in. (36.67 cm x 33.97 cm x 11.11 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1991.44.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=576&objectName=Flask
Flask (with pomegrante design and two handles),Gift of Mrs. George D. Pratt,1723-1735,"This is a Porcelain Flask, made of Porcelain. Its accession number is 1927.21, and its dimensions are 12 1/4 in. x 9 1/2 in. x 6 in. (31.12 cm x 24.13 cm x 15.24 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1927.21.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=577&objectName=Flask (with pomegrante design and two handles)
Fleeing Figures,Gift of Mrs. T. L. Sears,ca. 1940,"This is a Woodblock, made of Woodblock. Its accession number is 1973.2, and its dimensions are ().",,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=578&objectName=Fleeing Figures
Flock of birds,Donor unknown,,"This is a Painting, made of Ink and color on silk. Its accession number is 2018.6, and its dimensions are 10 5/16 in. x 11 3/16 in. (26.19 cm x 28.42 cm).",https://collection.sdmart.org/Media/Previews/1920-1929_Embark_Object_Photos/1924-185.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=579&objectName=Flock of birds
Flora and Plants (Four Seasons),Gift of Ambassador and Mrs. Everett F. Drumright,1859,"This is a Handscroll, made of Ink and color on paper, handscroll. Its accession number is 1982.85, and its dimensions are 16 1/2 in. x 151 in. (41.91 cm x 383.54 cm).",https://collection.sdmart.org/Media/Previews/1981-1990_Embark_Object_Photos/1982-85.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=580&objectName=Flora and Plants (Four Seasons)
