主体,介绍
Canon,"Wang Dongling’s work presents a large-scale, broadly-brushed interpretation of the seal-script version of the character for “canon” (fa 法). Before writing the character, Wang first applied ink wash along the upper and lower borders of the paper, leaving an uninked horizontal band in the center. The varied density of the spontaneously applied ink wash gives these passages a rich, atmospheric quality that, according to the artist, is meant to evoke images of the separation of the sky from the earth, as well as periodic autumn floods, as described in the classic Daoist text Zhuangzi (ca. 300 BC).Only after the ink-washed areas had dried did Wang execute the character. Wielding a large brush, Wang wrote out the archaic seal-script form of “canon.” But while seal script, which evolved from seals carved from stone or cast from bronze, is generally composed of lines of uniform width, Wang’s ragged brushstrokes—blurred from puddled ink or streaked from twisted and separated bristles—reasserts the primacy of the brush and the immediacy of the artist’s touch. In another significant departure from tradition, Wang rearranged the character’s usual configuration in order to achieve greater graphic balance. In the standard seal-script form of this complex character, the right and left components are strikingly imbalanced: the righthand component is made up of fifteen brushstrokes, the left only five. In Wang’s reinterpretation, however, one element from the lower right side of the standard character—qu (去 “to go”)—is set above the lefthand element shui (水 “water”), which is, in turn, greatly compressed. The artist integrates his reconfigured glyph by tilting each element inward so that they appear to pivot around the central void, exactly where Wang has placed his seal, which reads Wang Dongling yin (“Seal of Wang Dongling” 王冬齡印).Traditional seal script rendering of the fa character:The qu radical:The shui radical:"
The_Colors_of_Mount_Taihang,"Wang Hui was born to a family of professional painters who gave him his early training. In his late teens, Wang was discovered by the prominent scholar-painters Wang Jian and Wang Shimin—both former pupils of the towering Dong Qichang—who trained him using their own significant collections of old master paintings. Wang Hui’s early education had prepared him to be a professional painter—a fine existence but one of low status. Under the elder Wangs’ tutelage, he jumped into a different social stratum, where he rubbed shoulders with the most respected men in the realm and eventually painted for the emperor himself. This painting, one of Wang’s early breakthroughs as a landscapist, is inscribed by his mentor Wang Shimin."
Clearing_after_Rain_over_Streams_and_Mountains,"Freely adapting elements traditionally associated with Juran (act. ca. 960–85)—conical mountains defined by ""hemp-fiber"" texture strokes and topped by dense groves or clusters of boulders interspersed with foliage dots—and mixing them with the ""cloudy mountains"" imagery of Mi Youren (1074–1151), Wang has dematerialized the tenth-century master's substantial forms by paring down motifs, flattening forms into calligraphic patterns, and using subtly graded ink washes to evoke a serene landscape cloaked in clouds and mist. While the painting's moist atmosphere is characteristic of Juran, the seamless progression of repeated triangular hills from front to back reveals Wang's method of integrating pictorial elements within a zigzag compositional pattern he called a ""dragon vein.""Done when the artist was only thirty, the luminous ink tones and perfectly controlled lyrical composition are characteristic of works from the artist's early period."
Flowers_in_Rain_through_the_Four_Stages_of_Meditation,"Four clusters of flowers—orchid, chrysanthemum, narcissus, and peony—hover on this scroll as if emerging from a dense mist. This is one of the earliest extant paintings by Xugu, a scholar of the late Qing dynasty who first pursued a career as a military officer before retreating to life in and around Buddhist monasteries. Xu’s late works are known for nervous, fractured lines, but this piece shows his mastery of the “boneless” technique, in which washes of color are applied without bounding lines. The flowers may symbolize a seasonal progression from summer to spring, but the scholar Cheng Songwan, who gave the painting its title frontispiece, saw a Buddhist significance."
The_Lingshouhua_Studio,"Zhao Zhiqian, the leading scholar-artist of his day, grew up in a merchant family but received a classical education in order to pursue a career in government. Passing the provincial civil-service examination in 1859, Zhao spent the next twelve years in Beijing selling his art while trying unsuccessfully to pass the capital examination before being awarded a post as district magistrate in Jiangxi Province in 1872.Zhao was equally renowned as a calligrapher, seal carver, and painter. He is best known for a distinctive ""square-brush"" style of calligraphy derived from the engraved stone writings of the Northern Wei dynasty (386–534), as seen in his dedication and signature here, but he also developed a distinctively plump seal-script manner exemplified by this couplet, which expresses a sentiment appropriate for a Confucian household:Great virtue comes from forbearance,sincerity comes from a mind free from deception.(Jason Sun, translated)"
Dwelling_in_the_Mountains,"Xie first became fascinated with the monumental landscape paintings of the Northern Song dynasty (960–1127) in his late twenties and thirties. This work, made when the artist was in his late sixties, attests to the lasting influence of Song masters such as Fan Kuan (act. ca. 990–1030) and Li Tang (ca. 1070s–ca. 1150s), particularly in its massive mountain forms defined by emphatic, angular contours and ""axe-cut"" texture strokes. The imposing trees in the foreground, with their twisting trunks and partially exposed roots, also reflect a major motif of the Song pictorial tradition. Xie, however, softened the austere vigor of the Song masters by emphasizing a human presence—evident here in the prominent inclusion of dwellings and a bridge—and by tempering his forceful brushstrokes with rich ink washes. Such subtle variations in tone were achieved after a decade of experimentation with a new method of representation that prioritized the use of ink wash over line and color."
"Lotus_and_Rock,_after_Chen_Hongshou","This tracing (the bottom portion of which is now missing) reveals how Xie allowed himself some creative license when copying a painting by Chen Hongshou (1599–1652. In tracing the original, Xie paid greatest attention to the outlines of the lotus petals and leaves; he rendered the contours of the rock in a much more cursory manner. This enabled him to use his brush more freely to describe the rock's form and texture, adhering to neither the model nor his tracing while still preserving Chen's original composition. Xie imitated the inscription in the same way: he followed the general forms of the characters without tracing them precisely. In a further departure from the original, Xie used shading in the finished copy to give his rocks greater substance and to emphasize the main rock's central perforation.According to Xie's inscription on the finished version, he copied Chen's painting while he was staying in Nanjing in the spring of 1937."
Wrist_rest_decorated_with_bamboo,"This wrist rest is an excellent example of bamboo carving by Jin Xiya (1890–1979), the finest bamboo artist active in twentieth-century China. It showcases Jin’s virtuosic command of traditional bamboo carving. His works incorporate compositions from designs contributed by his contemporary artists, such as Araki Jipo (Japanese, 1872–1944) on this piece. Jin’s works not only represent the highest achievement of bamboo carving in early twentieth century China, but they also preserve a microcosm of the literati world of that time, when members of the scholarly elite sought to sustain inherited traditions in the face of a rapidly modernizing world.According to the archival list of Jin’s works (wrist rest #38), the bamboo carving was completed in the winter of 1929."
Prose_Poem_on_Fishing,"Poet, calligrapher, and bon vivant, Zhu Yunming was one of the most prominent and colorful literary figures of the Ming period. Except for a brief official career as a magistrate in Guangdong Province from 1515 to about 1520, Zhu passed most of his life in the Suzhou area enjoying scholarly pastimes in the company of such friends as Wen Zhengming (1470–1559) and Tang Yin (1470–1523).An uninhibited, highly creative calligrapher, Zhu is best known for his ""wild"" cursive script inspired by the Tang dynasty masters Zhang Xu (ca. 700–750) and Huaisu (ca. 735–800?) and by the Song scholar-poet Huang Tingjian (1045–1105). Prose Poem on Fishing, nearly twenty-seven feet long, is a tour de force of sustained creative energy. Written on coarse paper ""by lamplight"" with a ""worn brush,"" the rounded and thick brushstrokes have a blunt strength that distinguishes this writing from Zhu's usually more carefully executed and gracefully modulated characters."
Presenting_the_Tripod,"As a youth, Wang Xuehao studied with a grandson of Wang Yuanqi, who trained him in the elements that made the elder Wang’s manner so beloved: loose dotting, bold interplays of solid and void, and a studied awkwardness of line that somehow never departed from elegance. Wang Xuehao shows his mastery of this style in this short handscroll, which depicts the scholar and art collector Ruan Yuan donating a famous ancient bronze vessel to a Buddhist monastery."
Recluse_gazing_at_a_waterfall,"Ju Jie, a native of Suzhou, studied painting with Wen Jia (1501–1583) but also received instruction from Wen Zhengming (1470–1559), whose style he emulated so successfully that people considered him the master's most talented pupil. After refusing a summons from the eunuch manager of Suzhou's Imperial Silk Manufactury, however, Ju Jie's family was forced into poverty. He subsequently built a small home at the foot of Tiger Hill and lived out his life in relative poverty and ill health—as attested to by his inscription:In the jiwei year of the Jiajing reign on the day of Mild Cold [December 29, 1559] Xuanjin dropped by and produced this paper, pressing me for a painting by my clumsy brush. At the time I was ill and had long neglected brush and inkstone. In a disorderly way I daubed and rubbed; surely one must find it awful. May Xuanjin not be offended with my soiling his beautiful paper.(trans. after Aschwin Lippe)Executed in exquisitely pale, dry brushwork with occasional accents of dark ink, this painting showcases Ju Jie's mastery of Wen Zhengming's refined monochrome landscape style. In Ju's interpretation, however, the dense skein of trees and rocks presents an almost impenetrable web of surface patterns that is scarcely alleviated by the widening stream at the bottom of the composition, where a single figure sits admiring the view."
Wind_among_the_Trees_on_the_Riverbank,"Between 1356 and 1366 Ni Zan led a refugee's life, residing with his family southwest of Suzhou at a place he nicknamed the Snail's Hut. Compared to his Wuxi days, this was ""another lifetime,"" but the family was able to settle down to an existence of ""simple sustenance, harmony, and happiness."" His paintings and calligraphy from this period are more assured and relaxed; consequently, they sometimes appear sketchy, a characteristic Ni consciously sought: ""Try to do things in a sketchy manner. Develop forms with a free hand . . . by following your ideas and feelings.""This painting, made for fellow scholar-artist Yu Kan (active 14th century), reflects Ni's spontaneous manner. Painted the same year Ni's wife died, it may also express the artist's growing sense of isolation. His inscription reads:On the riverbank, the evening tide begins to fall;The frost-covered leaves of the windblown grove are sparse.I lean on my staff—the brushwood gate is closed and silent;I think of my friend—the glow is nearly gone from the hills."
Landscape_for_Zhanting,"A talented landscape painter and theorist, Wang Yuanqi inherited the mantle of orthodoxy from his grandfather, Wang Shimin (1592–1680). A high government official, he also played an important role in establishing the orthodox style as the standard for court painting under the Kangxi emperor (r. 1662–1722).Wang derived his basic composition for this painting from the Yuan master Huang Gongwang (1269–1354), but he reduced the earlier artist's landscape forms to geometric shapes arrayed in twisting and turning echelons that set the entire mountainscape in motion. Contrasting colors and shifting ground planes further animate the composition.Wang's inscription suggests that he took particular pleasure in completing this painting: The way of brush and ink is such that if it is notthe product of lofty and profound ideas and a happy and relaxed mood, when [the artist] adds dots and washes, his mind and hand will not respond to one another. In accord with this principle, the ancients often put away their inkstones and laid aside their brushes, often for years at a time, if the right occasion did not arise. My colleague Zhanting entrusted me with some celi paper a long time ago, but I was distracted by official business. This spring I was recuperating from illness at home. Mr. Zhanting's marvelous medicinal compound worked like the seven stimulants. I recovered immediately, feeling fully vitalized, and was able to fulfill my old promise. I note this in hopes that he will not admonish me for my tardiness."
Five_poems,"Shitao's versatility as a painter is matched by his broad command of ancient script types and individual earlier masters' writing styles. Unlike most of his contemporaries, who wrote in only one or two scripts, Shitao freely varied the script type, style, and scale of his writing to suit format and content.In this fan Shitao emulates the archaic regular script of Zhong You (151–230) in the first part of his text (right half) and Zhong's follower, the fourteenth-century recluse-artist Ni Zan (1306–1374) in the second part (left half). The unmodulated brushstrokes and rectilinear forms convey an air of simplicity and purity well suited to Shitao's poems, which describe his lifelong devotion to poetry, painting, and calligraphy inspite of often straitened circumstances."
Two_eagles,"After decades spent concealing his identity as a descendant of the Ming royal house, Bada Sharen, at the age of seventy-six, seems in this forceful depiction of eagles to be declaring his proud defiance of Manchu Qing rule. There is no immediate precedent for such imagery; instead, the painting harks back to the powerful representations of eagles and hawks created by the early Ming court artist Lin Liang (ca. 1416–1480). Lin's heroic birds are emblems of strength and courage suitable for presentation to military officials. Bada, a fervent Ming loyalist, has personalized this imagery, transforming the conventional symbolism into an expression of brave confrontation and unfaltering loyalty, his noble birds standing sentinel over a landscape now occupied by foreign conquerors"
Poem_to_the_Tune_of_“The_Rain-Soaked_Bell”,"This transcription of a poem by the famed Northern Song poet Liu Yong (柳永, 987–1053) exemplifies Wang Dongling’s command of traditional cursive script. Ten tightly packed columns fill the entire space of the decorated paper and draw our attention to Wang’s energized brushwork. The piece showcases Wang’s unique cursive writing style, in which boldly expansive characters alternate with those that are tightly compressed. These rhythmic shifts in the scale, in which single characters are sometimes expressively unfurled with an emphatic ending stroke of exaggerated length, heightens the sensation of spontaneous execution. Such formal variations enliven the densely written field as the writing undergoes constant compression and expansion. The large characters with their extended endings act like visual punctuations, however they bear no relationship to the text’s content. Such arbitrary shifts in scale hark back to the idiosyncratic cursive styles of Wang Duo (1592–1652) and Fu Shan (1607–1684). But unlike those artists, Wang Dongling did not adopt a traditional handscroll or hanging scroll format. Instead, he chose the challenging square format whose uniformly figured field reveals a modernist sensibility reminiscent of Western action painting.In the final, left-most column, written in a slightly smaller script size, Wang Dongling identifies the source of this text and adds his signature and date. In the traditional manner, he has also impressed two of his seals—one at the beginning and one at the end of the text.Liu Yong’s lyric-poem (ci) to the tune of “The Rain-Soaked Bell, ” in the dinghai year (2007), Wang Dongling in Hangzhou.Seals: Wang Dongling yin (“Seal of Wang Dongling” 王冬齡印), lower left; Wuzhai (“Studio of Enlightenment” 悟齋 , the artist’s style name), upper right.寒蟬淒切。對長亭晚，驟雨初歇。都門帳飲無緒，留戀處、蘭舟催發。執手相看淚眼，竟無語凝噎。念去去、千里煙波，暮靄沉沉楚天闊。多情自古傷離別。更那堪、冷落清秋節。今宵酒醒何處，楊柳岸、曉風殘月。此去經年，應是良辰好景虛設。便縱有、千種風情，更與何人說。柳永雨霖鈴 丁亥王冬齡於杭州*Translation by Liu Wu-chi. “The Rain-Soaked Bell” (Yulin Ling 雨霖鈴) is the name of a tune that dictates the format of the poem."
Wrist_rest_decorated_with_an_ear_of_corn_and_snail,"This wrist rest exemplifies the playfully unconventional approach of Jin Xiya, the finest bamboo artist active in twentieth-century China. Jin meticulously conveyed the textures of the corn stalk, leaves, and kernels by varying the density of striations, such as between the broad lines of a leaf and the denser lines of the sheaf. The artist also enlivened the composition by adding a snail climbing the stalk, and cleverly integrated the inscription by writing it on a leaf."
Rhapsody_on_the_Epang_Palace,"明 王寵 楷書阿房宮賦 冊 紙本Though Wang Chong died young, he is remembered for his achievements in semicursive and small standard scripts. This three-leaf album, a rare surviving example of Wang’s small standard script, exhibits the combination of sophistication and strategic na?veté that is admired in his work. In general, Wang follows standard rules of character structure, but, in select spots, he surprises the viewer with a calculated imbalance, weighting a character up or down, left or right. Likewise, his brushwork is angular and sharp in some places, rounded and smooth in others. These subtle shifts operate like inside jokes for students of calligraphy and create an effect at once wise and whimsical, elegant but not slick."
Flowering_Calamus_and_Frogs,"Qi Baishi often painted fish, crabs, and shrimp in the early years of his Beijing period (ca. 1920–57), but he seldom painted frogs. As a professional artist, he had to cater to the popular demand for sets of four hanging scrolls, so frogs became his fourth aquatic animal. The frogs in this painting face one another as if engaged in conversation in front of the calamus plant, which is indigenous to their watery habitat. Qi inscribed it with a couplet:By the Starry Pond [Xingdou Tang] were three houses,Where sons and grandsons knew the calamus flowers.(trans. by Shi-yee Liu)After moving to Beijing, Qi often drew inspiration from memories of his hometown in Hunan. The ""Starry Pond"" mentioned above refers to his birthplace. The Ming Loyalist Bada Shanren (Zhu Da,1626–1705) had a major influence on Qi Baishi's art. In this painting, the simple, expressive brushwork, strong compositional design, and the frogs' animated expressions are clearly indebted to Bada's psychologically evocative imagery. But Qi infused these traits with his typical warmth and humor. There is also a practical reason for his transformation of Bada's edgy style: his early Bada-inspired paintings were not well received in Beijing, so he tempered the austerity of Bada's influence with an exuberance and cheerfulness derived from the popular manner of Wu Changshuo (1844–1927)."
The_Great_Victory_of_Qurman,"In 1760 the Qianlong Emperor (r. 1735–96) commissioned sixteen monumental paintings to commemorate his victories in the East Turkestan campaign for display in the Hall of Purple Splendor in the Forbidden City. One of them depicts the Battle of Qurman. Only the right-hand side of the painting and a fragment from the left have survived; this fragment has only recently been identified. The complete composition is preserved as an engraving, displayed to the right.Painted by Jesuits in collaboration with Chinese artists, the fragment shows a well-organized formation of soldiers with camels and mules. The names of four officers are inscribed on the painting in gold Manchu letters."
Landscape_with_towers_and_pavilions,"Su Renshan was a child prodigy from Guangdong Province in China’s deep south. This fantastic landscape, painted when the artist was just fifteen years old, reveals the strength of his imagination and the talent of his brush. Su’s humble signature occupies a single column along the upper left edge, while his father, bursting with pride at his son’s accomplishment, takes up much of the empty space at the top of the painting with his inscription."
Mountain_Vegetables,"This painting features an assortment of humble vegetables randomly arrayed as if freshly harvested and laid out on a kitchen table. It conveys the simple pleasures of home cooking, for which Zhang Daqian was well known. The shapes and positioning of the vegetables reveal formal concerns that belie the apparent playfulness of the composition. It grows directly out of the tradition of depicting flowers and vegetables in freely applied ink washes and color without the use of outlines.Zhang Daqian often painted different combinations of vegetables, but this painting stands out for its reliance on ""splashed ink"" washes that show no traces of the brush in the rendering of the vegetables' lush leaves."
Four_anecdotes_from_the_life_of_Wang_Xizhi,"The emperor Yuan Renzong (r. 1312–20) is said to have remarked that no one could compare with Zhao Mengfu, who possessed seven outstanding qualities: Song royal ancestry, elegant appearance, wide learning, pure character and righteous conduct, literary accomplishment, skill in calligraphy and painting, and profound knowledge of Buddhist and Daoist teachings.As a leading calligrapher, Zhao advocated a return to ancient models, successfully integrating styles of the Jin (265–420) and Tang (618-907) dynasties to create a new synthesis in both regular and cursive scripts. During the fourteenth century, the typefaces of printed books were modeled after his regular script, while his cursive script, seen here, formed the basis for many later writers' informal writing styles.Four Anecdotes from the Life of Wang Xizhi testifies to Zhao's devotion to the ""Sage of Calligraphy,"" Wang Xizhi (303–361). Strongly influenced by Wang's style, this scroll dates to about 1310."
Wooded_Mountains_at_Dusk,"Born on the Buddha's birthday, Kuncan took Buddhist monastic vows at age twenty-six and became an ardent Chan (Zen) follower. After the establishment of the Qing dynasty, he lived in Nanjing, where his friends included poet-painters who considered themselves loyal ""leftover subjects"" of the vanquished Ming dynasty. In 1659 he visited Yellow Mountain in southern Anhui Province and, inspired by the beauty of the site, decided to devote himself to painting. For Kuncan, painting was a path to the self, and he brought to his art the importance of selfhood espoused by later Chan practitioners.Kuncan's landscapes, painted in the densely textured style of the Yuan master Wang Meng (ca. 1308–1385), are often accompanied by inscriptions that describe a physical, as well as spiritual, mountain journey. In Wooded Mountains at Dusk the artist depicts himself as a wandering pilgrim seated beneath a natural rock bridge:I want to go farther,But my legs are bruised and scratched.The bony rocks appear chiseled,The pines look as if they had been dyed.Sitting down, I feel like a small bird,As I look out at the crowd of peaks gathered before me.Having ascended the heights to the brink of the abyss,I hold fast and ponder the need to sincerely face criticism.Wherever a road ends, I will set myself down,Wherever a source opens, I will build a temple.All this suffices to nourish my eyes,And rest my feet.(Yangming Chu and Maxwell K. Hearn, trans.)"
On_Zhang_Xu,"Benefiting from his family's extensive library in Chaozhou, Guangdong province, Rao Zongyi eventually distinguished himself in extraordinarily diverse fields of scholarship as well as became an accomplished painter and calligrapher.This transcription of three lines from Du Fu's (712–770) ""Eight Immortals of the Wine Cup,"" is typical of Rao's cursive script. The poem celebrates eight free-spirited, heavy-drinking poets and artists. Rao transcribes only that portion concerning Zhang Xu (act. mid-eighth century), the revered ""sage of cursive calligraphy,"" whose wild, gestural writing echoed his eccentric behavior:After three cups [of wine] Zhang Xu demonstrates his repute as the sage of cursive calligraphy.Taking off his hat and exposing his pate in front of the grandees,He sweeps his brush across the paper until [words emerge] like clouds and mist.(trans. by Shi-yee Liu)In keeping with the spirit of his subject, Rao wrote this piece in highly expressive cursive script, but, instead of following Zhang Xu, he employed the style of Wang Duo (1592–1652). Wang writes with great speed, but consciously avoids graceful fluidity. Often he pausesand presses down the brush as he begins a stroke or changes its direction, so that his writing is full of angular turns and emphatic pauses that create a tension between spontaneity and deliberateness. Rao adopts these same traits, although he executes them with more restraint."
Heads,Xie's interest in rendering faces is apparent in these many tracings of subtly varying Buddhist figures.
"Hands,_Feet,_and_Heads",The assured lines of these drawings indicate that they were traced rather than sketched.
Riverscapes,These two horizontal studies may have functioned as preliminary designs for a handscroll.
Architecture_and_Irises,"As exemplifed here, Xie's sketches were typically accompanied by handwritten notes on color."
Landscape,This drawing demonstrates Xie's early familiarity with Western-style perspective and methods of rendering recession.
River_Hamlet,"A rustic dwelling sits by a broad expanse of river. Having just moored his boat at the water’s edge, a weary fisherman makes his way up the slope to his humble thatch-roofed home. To depict the freshly fallen snow that blankets the riverbank, the painter has left rocks and earth unpainted and filled in the sky and water with light washes of ink, an inversion of typical ink-painting practice. The scene is still and tranquil—an encapsulation of the river’s role in Chinese art as a symbol of the good, simple life."
Return_Journey,"Under a tall tree, a procession of peasants with fully loaded mules returns from the mountains. Strong sunlight is reflected on the tree’s lush foliage, rendered in fine-lined contrasting triangles. As in Bamboo Raft (cat. no. 91), this work’s use of an unusual vantage point may have been inspired by photography."
Calendar_Poster_with_a_Lady,"In the early twentieth century the center of popular print production moved from Suzhou to Shanghai, where a vibrant poster industry drew heavily on the Western techniques of photography and lithography, as exemplified by this calendar poster for the year 1930 advertising tobacco."
Happiness,"In simple monochrome, Chen Yiming created this powerful image of a peasant’s weather-beaten face and gnarled hands. The rough carving of the woodblock ingeniously transmits the subject’s rugged features and captures the sense of ease he seems to be enjoying in the blazing sunlight."
Fishing_in_River_Country_at_Blossom_Time,"The youngest of the ""Four Wangs,"" Wang Yuanqi was tutored in painting by his grandfather Wang Shimin (1592–1680). Wang's knowledge of art gained official recognition in 1705, when he and four others were commanded by the Kangxi emperor (r. 1662–1722) to compile a comprehensive study of painting and calligraphy, which was published in 1708 under the title Peiwenzhai shuhua pu. According to Wang Yuanqi's inscription, this painting was inspired by a ""blue-and-green"" landscape by Zhao Mengfu (1254–1322) that belonged to Wang's family collection. Wang's abstract mountain shapes interconnect and coalesce to form surging ""dragon veins,"" through which the ""breath force"" of the mountains is said to flow."
The_Vimalakirti_Sutra,"Throughout Buddhism’s early history in China, the ascetic aspects of the religion—the practice of celibacy and self-deprivation—came into conflict with the Chinese family system and social values. The Vimalakirti Sutra, celebrating the supremely wise layman Vimalakirti, provided canonical proof that enlightenment and salvation were possible even for believers who remained outside monastic orders.In this scroll, which transcribes chapters 5 through 9 of the sacred text, the illuminated frontispiece portrays Vimalakirti seated on a dais preaching to a large audience. He is depicted with the attributes of a traditional Confucian scholar: long beard, fly whisk, and armrest. An inscription at the end of the scroll indicates that it was executed in remote southwest China, present-day Yunnan Province. Lavishly painted and written in gold and silver on purple silk, the scroll was commissioned by the prime minister of the independent kingdom of Dali as a gift for the Chinese ambassador."
Lotus,"Throughout his career, Zhang Daqian explored different ways of depicting lotus. Here, he has extended the expressive potential of bravura ink-play pioneered by Xu Wei (1521–1593) and Zhu Da (1626–1705) by adding representational details to abstract patterns of color wash to create an evocative, atmospheric image. He dedicated this work to Lin Yutang with a poetic inscription that reads:Thanks to the silk-washers who did not pluck them,They remain in the rain to shelter the mandarin ducks.(trans. by Shi-yee Liu)This image is executed in what Zhang referred to as his ""splashed-ink"" style, which he developed in the mid- 1960s. While this style strongly suggests inspiration from Abstract Expressionism, Zhang never entirely abandoned figuration. He interpreted his formal eclecticism by invoking Laozi: ""Laozi said, 'Procure the essence, and transcend the phenomena.' This state is hard to attain. Images barely emerge out of an elusive haze-that's close enough."" This lotus, which reveals itself through a grayish-blue nebula of saturated color, embodies Zhang's ambitious integration of East and West as well as past and present."
Two_Paintings_of_Deer_Antlers,"The Qianlong Emperor practiced both calligraphy and painting as a way of identifying himself with Chinese literati ideals of self-cultivation. However, the subject matter of these two scrolls reveals his concomitant desire to align himself with Manchu hunting traditions. Furthermore, the realistic rendering of texture and three-dimensional form reflects the influence of Western pictorial techniques, introduced to the court by Jesuit painters such as Giuseppe Castiglione (1688–1766).The earlier of the two scrolls depicts the antlers of a spotted deer. In his accompanying inscription, the emperor recalls seeing a gigantic pair of eight-point antlers procured by his grandfather, the Kangxi Emperor (r. 1661–1722), in Central Asia—considered at the time to be an auspicious sign.The second scroll, painted five years later, presents the horns of a species known in the West as Père David, so named for the eponymous Jesuit missionary and naturalist (1826–1900) who first recorded it in a Western source. In his accompanying essay, Qianlong describes different deer species and seeks to correct misleading distinctions made in the Book of Rites, a classic Confucian text."
Weighing_Books,"This disconcerting image of a gentleman selling his books by weight presents a startlingly cynical commentary on the value of scholarship in the increasingly corrupt world of Ming dynasty politics. It may also reflect something of the life of the artist, Guo Xu, who abandoned preparations for an official career to become a painter.The artist's intention remains enigmatic. Does the painting depict the fate of the growing number of well-educated men who, unsuccessful in the civil-service exams, were forced to support themselves as artists, tutors, or professional men of letters? Or is it a sardonic commentary on those members of the bourgeoisie who used their wealth to purchase examination degrees, official appointments, and other trappings of scholarship? Either way, it reflects a new development: the professional artist as social critic. The painting's virtuoso drawing reflects Guo Xu's reputation as a leading artist of his day. Landscape elements, faces, and drapery lines are executed in swift, powerful brushstrokes that still fulfill their descriptive function. The bold composition is likewise carefully crafted to intensify the drama, tightly framing the triangular formation of figures huddled around the scale."
Portrait_of_Li_Xiangjun,"This painting portrays Li Xiangjun (fl. mid-seventeenth century), a courtesan celebrated for rebuking powerful but treacherous politicians and risking her life to remain chaste for her true love, Hou Fangyu (1618–1654). When a high-ranking official tried to take her by force, Li struck her head against the floor in an attempted suicide. Her blood spattered a fan given to her by Hou, which was later transformed into a painting of peach blossoms. This heroic deed was immortalized in Peach Blossom Fan, a well-known play by Kong Shangren (1648–1718). Above the painting is a transcription of Hou Fangyu's biography of Li.Here Li is shown in her boudoir holding a fan painted with peach blossoms. She leans against a circular opening framed by willow boughs, symbolic of her profession as a courtesan, and a grove of blossoming trees. An open book on the table tells us that she is not only virtuous but also literate.Twelve colophons embellish this scroll, mostly written by scholars from northeastern Zhejiang between 1916 and 1927. Lin Yutang, who greatly admired Li Xiangjun, added the last colophon below the painting after purchasing it in 1934."
Landscape,"In the inscription on this fan, Shitao sets forth his theory of painting, ""the single stroke,"" or ""the painting of oneness (yihua)"":On a windy, rainy, spring day, I am happy I have no visitors; my hand is free, my mind relaxed and cleansed. The ancients called it yihua, the ""single stroke"": a thousand hills, ten thousand valleys, people, bamboo, trees,a single brushstroke and all is completed. On one level, yihua constitutes a very practical concept: a complete design begins and finishes with the single brushstroke. On a metaphysical level, it suggests that ""myriad strokes are reunited in oneness"" through the mind and hand of the artist and through the artist's spiritual communion with nature."
Woman_by_a_window_beneath_a_wutong_tree,"Yu Ming, nephew of Yu Yuan, made this painting in response to a poem by his uncle. A slender woman leans languidly on the ledge of an open window by a wutong tree. Unlike some of the other paintings of women, this one carries a clear erotic tinge."
Old_plum,"Plum blossoms have served painters as emblems of regeneration since the Song period. Qi Baishi loved to paint them in several styles, including the bright colors favored by Wu Changshuo. Here however, Qi depicts the plum tree, its upward trunk and hanging branches in calligraphic strokes of somber ink. Trailing down the page like branches are lines of verse in which Qi expresses the sentiment of a great old tree:Even when its branches droop with age,It wishes not to be looked down upon."
Wintry_mountains,"Gong Xian, considered the greatest of the seventeenth-century Nanjing painters, built up his high-contrast images through a repetitive layering of ink. Here, he evokes a wintry scene in a mountain village. The accompanying poem celebrates the joys of country life:Farmers, cowherds, fishermen, and woodcutters—where do they make their homes?In huts thatched with yellow reeds among mountains and streams.Work completed, they return together and get drunk,Jugs and cups filled with wine; there is no need for credit.—Translation after Aschwin Lippe"
Branch_of_blossoming_plum,"Xu Zonghao’s gnarled branch of blossoming plum consists of gray ink wash, bold black dots, and unbounded daubs of green—an assemblage so freely painted that it is nearly abstract. The poem describes a late winter scene, the subtle fragrance of plum suffusing early dawn when the moon still hangs high in the sky."
Fisherman,"Wu Zhen lived the life of a recluse. He was never very famous or successful during his lifetime, but in the Ming period he came to be designated one of the Four Great Masters of the late Yuan dynasty and his style was favored by many Ming painters, most notably Shen Zhou (1427–1509). Wu was fond of doing ""ink-plays,"" and his drawing shows a cartoonlike simplicity and directness. Accompanying the hermit-fisherman, a symbol of the late Yuan unemployed scholar, Wu Zhen's poetic colophon reads:Red leaves west of the village reflect evening rays,Yellow reeds on a sandy bank cast early moon shadows.Lightly stirring his oar,Thinking of returning home,He puts aside his fishing pole, and will catchno more."
Various_Subjects,"Pan Tianshou taught himself to paint using the Mustard Seed Garden Manual before receiving instruction in college from Li Shutong (Hongyi, 1880–1942), the pioneering teacher of Western-style painting. In 1925 Pan went to Shanghai, where he met Wu Changshi (1844–1927), who instructed him in seal- and clerical-script calligraphy. In 1928 Lin Fengmian (1900–1991) appointed Pan to the faculty of the newly founded Hangzhou Art Academy as professor of traditional painting. Pan remained at the academy for the rest of his life, serving as director from 1959 to 1971, when he was persecuted and died during the Cultural Revolution.This handscroll exemplifies Pan's ability to create a formal language to express his emotions. Although his subject matter illustrates the traditional theme of the four seasons and his depictions recall the brush idioms of Ming and Qing scholar-artists, his exaggerated forms and angular calligraphy embody his fiercely independent spirit."
