藏品名称,作者,年代,描述,图片链接,详情链接
Ewer,"Chinese, for European, probably Dutch, market",ca. 1715,,https://images.metmuseum.org/CRDImages/es/mobile-large/ES7966.jpg,https://www.metmuseum.org/en/art/collection/search/206796
Plate,"Chinese, for Anglo-American market",1750–55,,https://images.metmuseum.org/CRDImages/es/mobile-large/ES2821.jpg,https://www.metmuseum.org/en/art/collection/search/206686
Teapot,"probably Chinese, Dehua with European decoration",ca. 1720–30,,https://images.metmuseum.org/CRDImages/es/mobile-large/ES6429.jpg,https://www.metmuseum.org/en/art/collection/search/200932
"Folding Fan with Scene of Cranes, Bamboo, and Flowers","Chinese, probably for the European Market",19th century,,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-12912-115.jpg,https://www.metmuseum.org/en/art/collection/search/209910
Bowl with cover,"Chinese, possibly for Southeast Asian market",19th century,,https://images.metmuseum.org/CRDImages/es/mobile-large/86693.jpg,https://www.metmuseum.org/en/art/collection/search/208936
Plate (one of a pair),"Chinese, for British or Scottish market",mid-18th century,,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-1143-010.jpg,https://www.metmuseum.org/en/art/collection/search/202638
Bowl with cover,"Chinese, possibly for Southeast Asian market",19th century,,https://images.metmuseum.org/CRDImages/es/mobile-large/86695.jpg,https://www.metmuseum.org/en/art/collection/search/210168
Fruit basket and stand (one of a pair),"Chinese, possibly for Continental European market",1790–1800,,https://images.metmuseum.org/CRDImages/es/mobile-large/ES1609.jpg,https://www.metmuseum.org/en/art/collection/search/201331
Puzzle jug,"Chinese, for Dutch or British market",ca. 1710–20,The model is derived from one originating in English pottery by 1653 and copied at the Dutch Delft factories by the early 18th century.,https://images.metmuseum.org/CRDImages/es/mobile-large/ES29.jpg,https://www.metmuseum.org/en/art/collection/search/185900
Fruit basket and stand (one of a pair),"Chinese, possibly for Continental European market",1790–1800,,https://images.metmuseum.org/CRDImages/es/mobile-large/151462.jpg,https://www.metmuseum.org/en/art/collection/search/201332
Vase with cover,"Chinese, for British or American market",ca. 1790,,https://images.metmuseum.org/CRDImages/es/mobile-large/171528.jpg,https://www.metmuseum.org/en/art/collection/search/202473
Dish with a scene of tea cultivation (one of a pair),"Chinese, for European, probably Dutch, market",ca. 1740–45,"This dish depicts several stages in the production of metal canisters intended to contain tea. These cylindrical containers were used to transport tea to Canton, where it was repacked in metal-lined wooden chests for shipment to Europe and elsewhere.",https://images.metmuseum.org/CRDImages/es/mobile-large/DP-15122-034.jpg,https://www.metmuseum.org/en/art/collection/search/205311
Incense burner,Hu Wenming,17th century,"Attributed to Hu Wenming by its mark, this incense burner features delicate patterns rendered through various forms of cold working, including engraving, chiseling, and punching—the characteristic techniques of the bronze master.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP353639.jpg,https://www.metmuseum.org/en/art/collection/search/39879
Base for a mandala,China,first half 15th century,"Ceremonial mandalas were used in later forms of Buddhism, including Esoteric Buddhism, which flourished in Tibet from the tenth century and was influential at the Chinese court after the fourteenth. This base once supported a three-dimensional mandala that probably comprised small sculptures, models of temples and stupas, or colored sands. The decoration combines lotus flowers (Buddhist symbols of purity) at the top with the Eight Buddhist Treasures at the sides.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP229015.jpg,https://www.metmuseum.org/en/art/collection/search/40765
Mug,"Chinese, for British or American market",ca. 1790,,https://images.metmuseum.org/CRDImages/es/mobile-large/171526.jpg,https://www.metmuseum.org/en/art/collection/search/202471
Folding Fan with Scene of an Audience with an Emperor and Empress,"Chinese, probably for the European Market",late 18th–early 19th century,,https://images.metmuseum.org/CRDImages/es/mobile-large/DP-12912-094.jpg,https://www.metmuseum.org/en/art/collection/search/209743
Salt dish,"Chinese, for British or American market",late 18th–early 19th century,,https://images.metmuseum.org/CRDImages/es/mobile-large/150871.jpg,https://www.metmuseum.org/en/art/collection/search/201060
Flagon,"Chinese, for British or American market",ca. 1790,,https://images.metmuseum.org/CRDImages/es/mobile-large/171529.jpg,https://www.metmuseum.org/en/art/collection/search/202474
"Shouxing, Stellar God of Immortality",China,16th century,"As one of the personified stars, Shouxing is associated with the South Pole in Chinese astronomy and is believed to control the human life span. Longevity, good fortune, and prosperity are considered the three attributes of a good life in traditional Chinese culture.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP318638.jpg,https://www.metmuseum.org/en/art/collection/search/42088
Incense burner with flowers,Hu Wenming,16th–17th century,"The pattern and form of this incense burner are almost identical to those of one bearing the mark of Hu Wenming’s son, on display nearby. On the basis of this comparison, and the current censer’s evident virtuosity, we can confidently assert that this is at least from Hu Wenming’s workshop, if not from the master’s own hands.Mark雲間胡文明製Made by Hu Wenming from Yunjian.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP-34950-001.jpg,https://www.metmuseum.org/en/art/collection/search/73318
Woman’s ceremonial robe,China,first half 18th century,"In Chinese, the word for “bat” (fu 蝠) sounds like the one for “happiness” (fu 福), so this robe carries a symbolic message of good fortune. The roundels of five interlocking bats surrounding the Chinese character for “longevity” (shou 壽) refer to the “Five Happinesses”: longevity, health, wealth, virtue, and a natural death.",https://images.metmuseum.org/CRDImages/as/mobile-large/DT217474.jpg,https://www.metmuseum.org/en/art/collection/search/53715
Vase,Shisou,18th–19th century,"This elegant vase has a pear-shaped body with a squarish section, supported on a short splayed foot. Two handles in the shape of animal masks are attached to the sides of its neck, which is embellished with a band of stylized dragons inlaid in silver. On both the front and reverse sides of the vase is a line of poetry by the Tang-dynasty poet Dou Chang (746–825), also inlaid in silver, which reads: Sweeping the snow to plant flowers in the spring; burning the incense to read the classics at night. On the other two sides are silver-inlaid images of an egret and a three-legged toad, which is a symbol of wealth. A two-character mark of Shisou is executed in silver inlay on the exterior of the bottom. The vase is covered with a warm brown patina that bears no trace of being buried underground. Originally, this vessel would have served as a vase for flowers or for holding tongs and spatulas for the practice of incense burning.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP702289 .jpg,https://www.metmuseum.org/en/art/collection/search/684605
Incense box,Hu Wenming,17th century,"Implements commonly used for burning incense included a box, a burner, a flat-bowled spoon and tongs, and a vase for storing these utensils. The burners are often modeled after archaic bronze vessels. Although it is not clear if the three Chinese objects displayed here (2015.500.6.22–.24) originally formed a set, all are inscribed with the name of the artist, Hu Wenming, and exhibit the same decorative technique.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP353637.jpg,https://www.metmuseum.org/en/art/collection/search/39877
Sutra Cover with the Chinese Character Shou (Longevity),China,16th century,Sutra cover with repeating pattern of the Chinese character shou (longevity); green on a red background. Silk twill damask in two colors.,https://images.metmuseum.org/CRDImages/as/mobile-large/2011_221_15_Strm1.jpg,https://www.metmuseum.org/en/art/collection/search/76606
Bottle vase,China,未知年代,"This mallet-shaped bottle once held the tongs and spatula used in traditional Chinese incense ceremonies. Successfully mimicking realgar (a mineral used as a magical material in Daoist practices), this glass vessel is a perfect combination of traditional Chinese taste and newly imported European glassmaking techniques.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP294635.jpg,https://www.metmuseum.org/en/art/collection/search/41083
Landscape in the manner of Dong Yuan,Lu Kezheng,1591/1651,"This evocative vignette is signed by a certain Lu Kezheng, an obscure artist who has gone unrecorded in histories of Chinese painting. Centering the composition on the lower half of the fan, Lu left the top shrouded in mist, creating a feeling of suspense by withholding a view into the far distance. The painting is dated according to the sixty-year cycle of the premodern Chinese calendar, so it is not possible to know whether it was made in 1591 or sixty years later in 1651, although the latter seems more likely based on its style.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP153840.jpg,https://www.metmuseum.org/en/art/collection/search/35977
Joint Landscape,Shen Zhou,ca. 1509 and 1546,"Shen Zhou, the quintessential Ming scholar-amateur painter, preferred to live in retirement rather than risk the vicissitudes of government service. He devoted much of his later life to an exploration of the brush style of the fourteenth-century recluse-painter Wu Zhen. Shen's painting epitomizes the scholar-amateur tradition of self-expression; by depicting the interior world of the mind and heart, it embodies the essence of Chinese artistic striving. The painting's imagery is about private places: secluded dwellings hidden in the heart of the landscape. Shen's calligraphic brushwork, like handwriting, subtly conveys the writer's mind and personality. Shen's most ambitious landscape composition—the scroll is over fifty-six feet long—it shows the artist systematically reinterpreting Wu Zhen's brush idiom while striving for a new compositional monumentality.The painting remained incomplete at Shen Zhou's death. In 1546 it was rediscovered by Shen's illustrious pupil Wen Zhengming, who added finishing touches. Wen's inscription recounts: ""The composition was already fully realized, but the dotting and washing had not been completed. I, his student, have now finished it. But consider my clumsy effort, how could I add to this 'sable tail'!""",https://images.metmuseum.org/CRDImages/as/mobile-large/DP235702_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/39556
Mug,,1736–95,"Chinese export porcelain was one of the luxuries deemed essential to a well-appointed eighteenth-century house. Until 1784, when direct trade began between China and America, Chinese porcelain came to the colonies by way of Europe. This mug descended in the Verplanck family of New York.",https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-26118-002.jpg,https://www.metmuseum.org/en/art/collection/search/5301
Tankard with Peony Scroll,China,early 15th century,"Despite the charming dragonfish handle, the shape of this tankard is not Chinese; it is based on Islamic metalwork, and was made for export.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP226194.jpg,https://www.metmuseum.org/en/art/collection/search/44744
Joint calligraphy,Huang Daozhou,dated 1632,"This scroll is a testament to the early friendship and mutual admiration of the two men, both of whom earned their ""presented scholar"" (jinshi) degrees in 1622 and went on to become outspoken exponents of political reform. It opens with a playful description by Huang of the similarities between the two friends' calligraphy. He states that he did not arrive at a style of his own until he studied Ni's writing, but he also recounts how Ni had made the same claim about Huang's influence on his calligraphy. Huang ends by remarking that after Ni became a high official, it was nearly impossible to obtain a piece of calligraphy from him. Ni Yuanlu's response, appended to the same length of satin, takes an equally sarcastic tone. Both men's calligraphic styles derive from orthodox models but have an emphatic angularity—with sharp, ""side-tip"" strokes made by holding the brush obliquely—that is said to reflect their forceful personalities.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP-13230-002.jpg,https://www.metmuseum.org/en/art/collection/search/73330
Panel with the Chinese Character for Longevity (Shou),China,18th century,"Perfect for a birthday celebration and probably intended as a gift, this massive panel extends one of the most cherished wishes in Chinese tradition: longevity, in the form of the Chinese character for that blessing, shou. The tapestry is meticulously executed with gold threads that parallel calligraphic effects, including the use of smudged areas at the end of several strokes—a technique known as “flying white” that reveals the mobility and rhythm of brushstrokes found in writing.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP226619.jpg,https://www.metmuseum.org/en/art/collection/search/70768
Chinese Bow,Chinese,probably 19th century,,,https://www.metmuseum.org/en/art/collection/search/30282
Early Autumn after Qian Xuan,Yu Jingzhi,Dated 1938,"Yu Jingzhi is one of the best-known female artists to practice traditional Chinese painting in the first half of the twentieth century. Born in Hangzhou, she became familiar with the highly descriptive local tradition of academic painting based on the court art of the Southern Song dynasty (1127–1279). She moved to New York in 1936, and held several one-person shows in New York, Boston, and Chicago through the 1960s. This work is a meticulous monochrome copy of Early Autumn, a handscroll in the Detroit Institute of Arts that bears a signature of the early Yuan (1279–1368) master Qian Xuan (ca. 1235–before 1307). Depicting an autumnal lotus pond abuzz with lively inhabitants, the painting juxtaposes life and decay to convey the transient nature of all living things. Zhang Daqian wrote a frontispiece in his striking calligraphy. Lin Yutang contributed a colophon that reads:[Yu] Jingzhi, a female scholar and artist, is descended from a highly cultured family. Though living in the United States for many years, she has never abandoned her former practice. She gave me her copy of Shunju's [Qian Xuan's] painting. It truly captures the feeling that insects, plants, and other myriad creatures all live their lives to the full, even though they are ephemerae between heaven and earth just like me. In the early summer of the yisi year [1965], Lin Yutang inscribed.(trans. by Shi-yee Liu)Zhang Daqian (1899–1983)FrontispiecePure Harmony on the Jade Pond""Elder sister"" [Yu] Jingzhi's copy of Qian Shunju's [Qian Xuan, ca. 1235–before 1307] painting is very close to the original. Respectfully inscribed by her junior, Daqian, Zhang YuanLin's colophon reads:[Yu] Jingzhi, a female scholar and artist, is descended from a highly cultured family. Though living in America for many years, she has never abandoned her former practice. She gave me her copy of [Qian Xuan's] painting. It truly captures the feeling that insects, plants, and other myriad creatures all live their lives to the full, even thought they are ephemerae between heaven and earth just like me.(trans. Shi-yee Liu)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP147001_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/73162
Drawings of Historical Characters,Shang Guan Zhou,未知年代,,https://images.metmuseum.org/CRDImages/as/mobile-large/CIB_7_d2.jpg,https://www.metmuseum.org/en/art/collection/search/60763
Illustrations and Explanations on Correct Cultivation,Jiao Hong,1590–1600,"This book, compiled by Jiao Hong and illuminated by Ding Yunpeng, illustrates sixty exemplary deeds carried out by historical political figures for the moral instruction of the then heir apparent, Zhu Changluo (r. 1620). The image displayed here tells the story of “Removing Dried Fish from among the Delicacies,” in which the future King Wu (d. 1043 B.C.) of the Zhou dynasty is informed by the bearded tutor Taigong Wang that his craving for dried fish was inappropriate for someone of his status.",https://images.metmuseum.org/CRDImages/as/mobile-large/PI_013_sf.jpg,https://www.metmuseum.org/en/art/collection/search/77074
Gibbons Raiding an Egret's Nest,Unidentified artist,late 12th century,"Taken literally, this painting is a dramatic vignette from nature, in which three gibbons raid an egret’s nest, capturing young birds as their mother circles above in anguish. Symbolically, the animals comprise a rebus, a visual pun in which a phrase is spelled out using pictures. In Chinese, the phrase “three gibbons capture egrets” (san yuan de lu) may also be read as “a triple first gains power,” a wish for success in the three levels of the imperial examinations. Originally mounted as a fan, this exquisite painting would have been the perfect gift for an aspiring scholar preparing for the exams.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP153503.jpg,https://www.metmuseum.org/en/art/collection/search/40071
Plum Blossoms,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP253-001.jpg,https://www.metmuseum.org/en/art/collection/search/63598
Bamboo,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP257-001.jpg,https://www.metmuseum.org/en/art/collection/search/63607
Bamboo,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP261-001.jpg,https://www.metmuseum.org/en/art/collection/search/63618
Damask with Cloud Palmettes and Chinese Characters,China,14th century,"Trade or diplomacy must have played a role in the life of textiles such as this example (now darkened but originally blue), which, according to records, was found in Egypt. The palmette pattern originated in Central Asia and the eastern Iranian world. Here, it also features a Chinese cloud border and flawlessly rendered versions of the Chinese character for longevity (shou) in the center of and atop each one. Longevity damasks like this piece must have been present in other regions, too, as they probably inspired the designs of some of the rare surviving late thirteenth- to early fourteenth-century carpets of Konya, Turkey.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP222033.jpg,https://www.metmuseum.org/en/art/collection/search/70996
Peonies,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP263-001.jpg,https://www.metmuseum.org/en/art/collection/search/63620
Chrysanthemum,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP266-001.jpg,https://www.metmuseum.org/en/art/collection/search/63623
Bamboo,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP260-001.jpg,https://www.metmuseum.org/en/art/collection/search/63617
Orchids,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP255-001.jpg,https://www.metmuseum.org/en/art/collection/search/63604
Chrysanthemums,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP258-001.jpg,https://www.metmuseum.org/en/art/collection/search/63609
Morning Melody,Zhang Wangqing,1982–92,"This print presents an aerial view of the pier of an industrialized port. Beneath a network of iron pipes, people head to work in the early morning. The severe geometry of the design and abstract patterning of the seagulls’ wings give the composition a fascinating modernist edge.",https://images.metmuseum.org/CRDImages/as/mobile-large/PI_082.jpg,https://www.metmuseum.org/en/art/collection/search/77104
Bamboo,Kuang Xü,printed 1922,,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-CP254-001.jpg,https://www.metmuseum.org/en/art/collection/search/63599
Piece,Chinese for export,未知年代,,https://images.metmuseum.org/CRDImages/ad/mobile-large/213598.jpg,https://www.metmuseum.org/en/art/collection/search/17715
White Lotus,Zhang Daqian,dated 1947,"According to Zhang's inscription, this painting was executed while he was visiting Zhengdu in his native province of Szechuan.",https://images.metmuseum.org/CRDImages/as/mobile-large/56_129_4_O.jpg,https://www.metmuseum.org/en/art/collection/search/36076
Bees and Camellias,Qi Baishi,20th century,"Qi Baishi painted the camellias. Wang Xuetao, a member of the Beijing Painting Academy who had a reputation for painting insects as well as birds and flowers, added the bees, as noted in his inscription.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP-25513-001.jpg,https://www.metmuseum.org/en/art/collection/search/41497
Tray with dragon and Chinese characters,China,1522–1566,"This tray is one of the finest products of the official workshops of the Jiajing era. It was probably made in the early part of the reign before Daoist imagery began to dominate at court. The dragon in the center holds up the Chinese character sheng, which means “divine” or “imperial majesty.” The characters above it (fu on the right and bi on the left) generally signify “to add” or “to support.” While they can be used to refer to the emperor’s chief ministers, in this case they may refer to the dragon, a well-known symbol of imperial authority.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP256031.jpg,https://www.metmuseum.org/en/art/collection/search/40224
Azaleas and Butterfly,Xiao Shufang,dated 1982,,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-32004-002.jpg,https://www.metmuseum.org/en/art/collection/search/36402
"Allaying the Summer Heat under Wutong Trees, after Shen Zhou, Leaf from the Mustard Seed Garden Painting Manual, part 1, vol. 5",Wang Gai,ca. 1800,"The Mustard Seed Garden Painting Manual was named after a Nanjing estate of the renowned playwright and novelist Li Yu (1611–1680), whose son-in-law commissioned Wang Gai (1645–1710) to compile the book. Part 1, devoted to landscape painting, was published in 1679. Compared with the earlier manual of the same nature, the Ten Bamboo Studio Collection of Calligraphy and Painting, it takes a more art-historical and didactic approach. This print, taken from a later edition of part 1, was made by using two or three blocks with varying shades of black ink to reproduce a painting by Shen Zhou (1427–1509), a leading artist of the early Ming dynasty (1368–1644) active in Suzhou.",https://images.metmuseum.org/CRDImages/as/mobile-large/PI_014.jpg,https://www.metmuseum.org/en/art/collection/search/77131
Carved fan with plum-blossom painting,Jin Xiya,carving dated 1924,"Jin Xiya was the most accomplished bamboo carver in modern China. Bamboo’s pliability makes it an ideal surface for reproducing the subtlety of brush and ink via carving, and for this reason the practice was seen as a companion to painting and an elegant pastime for a scholar-artist. This fan and the wrist rests in this case reveal both the expressive potential of the medium and Jin’s unique vision.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP-20122-001.jpg,https://www.metmuseum.org/en/art/collection/search/839236
Saddle (gser sga),Eastern Tibetan or Chinese for the Tibetan market,17th–18th century,"This saddle represents a particular form found in Tibet, one that is Chinese or strongly influenced by Chinese types. It belongs to a small group of closely related saddles that may stem from a single workshop or reflect a specific type developed in one region. Notable features are the lively dragons, chiseled free from the scrollwork ground, and the unusual decorative technique involving silver damascening of the entire surfaces of the saddle plates, with select design elements highlighted by mercury gilding over the silver. Also very distinctive is the use of three layers of decoration: the outer layer of pierced scrollwork with long tendrils deeply undercut to give an appearance of depth, a second layer forming a subsidiary ground underlying each saddle plate and consisting of an iron grill damascened in silver to create a stylized cloud pattern, and a layer of colored cloth directly on top of the wood of the saddle-tree.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP113274.jpg,https://www.metmuseum.org/en/art/collection/search/26656
China cuirass,Chinese,18th–19th century,,,https://www.metmuseum.org/en/art/collection/search/31981
Snow Clearing: Landscape after Li Cheng,Wang Hui,dated 1669,"Defying the dictum of the authoritative theorist Dong Qichang (1555–1636) that ""in painting it is better to be descriptively obscure rather than to be obvious,"" Wang Hui regarded calligraphic abstraction and mimetic representation as ""the two wings of a bird."" Inspired by Li Cheng's (919–967) descriptive idiom of jagged rock formations and spiky ""crab-claw"" wintry trees, which demand representational skill as well as calligraphic discipline, Wang's perfectly controlled lyrical composition—a snowscape of enchanted stillness-celebrates the beauty of nature.Painted for Zhou Lianggong (1612–1672), a high-ranking official who was facing unjust charges of corruption, Wang's choice of the Li Cheng style was significant. Li's winter landscapes had long been viewed as emblems of survival in the face of adversity, so Wang's painting may be read as an expression of sympathy and encouragement.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP-36810-002.jpg,https://www.metmuseum.org/en/art/collection/search/40021
Lychees,Ding Fuzhi,dated 1941,"The cool graphic beauty of Ding's image and of his Shang oracle-bone script express the pleasure he felt upon receiving lychees from a friend traveling in the south, where the fruit grows.Shou Xi's poem (on the left) describes how the Tang emperor Xuanzong (r. 712-56) employed the imperial messenger service to bring ripe lychees from Canton to his favorite concubine, Yang Guifei, at the capital, Chang'an (modern Xi'an).",https://images.metmuseum.org/CRDImages/as/mobile-large/DT8410.jpg,https://www.metmuseum.org/en/art/collection/search/49665
Portrait of Ren'an in a Landscape,Shitao (Zhu Ruoji),dated 1684,,https://images.metmuseum.org/CRDImages/as/mobile-large/sf1987.149.d01_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/36433
Odes of the State of Bin,Ma Hezhi,mid-12th century,"This handscroll is one of a set that illustrates the 305 poems in the Shijing (The Book of Odes), a work traditionally believed to have been compiled by Confucius (551–479 B.C.). The scrolls were made at the court of Gaozong (r. 1127–62), the first emperor of the Southern Song dynasty, and the transcriptions they bear, probably inscribed by either a scribe or a consort, are written in Gaozong's regular-script style. The accompanying paintings are the work of Ma Hezhi, a court artist known for his ""orchid-leaf"" brushstroke, a distinctive type of undulating brush line.The poems illustrated in this scroll are known as the Odes of the State of Bin, for they were believed to have been the songs of Bin (in modern Shensi Province), the ancient homeland of the founders of the Zhou dynasty (ca. 1100–256 B.C.). These odes are the last in the section known as Guofeng (""Airs from the States""), which contains poems gathered from all over the realm so that the Zhou king might learn what his people were thinking and feeling.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP213064_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/40054
Chinese Bow with String,Chinese,probably 17th–18th century,,,https://www.metmuseum.org/en/art/collection/search/30283
"Landscape, after Ni Zan, Leaf from the Mustard Seed Garden Painting Manual, part 1, vol. 5",Wang Gai,ca. 1800,"The Mustard Seed Garden Painting Manual was named after the Nanjing estate of the renowned playwright and novelist Li Yu (1611–1680), whose son-in-law commissioned Wang Gai (1645–1710) to compile the book. Part 1, devoted to landscape painting, was published in 1679. Compared with the earlier manual of the same nature, the Ten Bamboo Studio Collection of Calligraphy and Painting, it takes a more art-historical and didactic approach. This print, taken from a later edition of part 1, was printed from two or three blocks using varying shades of black ink to reproduce a painting by Ni Zan (1306–1374), one of the four masters of the late Yuan period (1271–1368).",https://images.metmuseum.org/CRDImages/as/mobile-large/PI_024_sf.jpg,https://www.metmuseum.org/en/art/collection/search/77066
Landscapes after old masters,Wang Hui,dated 1674 and 1677,"In 1674, Wang Hui painted an album of twelve leaves for his teacher Wang Shimin. Though already in his forties when he made the album, Wang Hui still attempted to impress his mentor with his range and technical facility. Three years later, Wang Shimin made his own album in response, painted in a broader style suited to his failing vision. Portions of the two original albums were lost over the centuries, and a collector combined the surviving ten leaves by Wang Hui and two by Wang Shimin in the album on view here—a touching artifact of the unique bond between a teacher and his student.Wang Hui (1632–1717)ColophonQing dynasty (1644–1911), dated 1714Forty years after he painted this album for his teacher Wang Shimin, Wang Hui saw it again in the home of Wang Shimin’s grandson. He recorded his feelings in this colophon:In 1674, when master Fengchang [Wang Shimin] asked me to do this album, he was eighty-three sui [eighty-two years old]. That was forty years ago; now I am eighty-three. The master’s grandson Qiuya has taken this out to show me. Examining again my earlier inscriptions done so many years ago I am overwhelmed with sadness and feel that the bonds of brush and ink that connect me with three generations of the Wang family cannot have been an accident.—Translation by Shi-yee Liu",https://images.metmuseum.org/CRDImages/as/mobile-large/DP154156_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/41481
"Figures, flowers, and landscapes",Chen Hongshou,one leaf dated 1627,"This album has four paintings by the late Ming master Chen Hongshou and seven by his son Chen Zi. The first is one of the most iconic images in Chen Hongshou’s oeuvre—a mournful self-portrait depicting the artist drowning his sorrows in wine. It is followed by paintings of landscapes, birds, flowers, and figures. The combining of diverse subjects in a single album was known as “zahua,” and it was an opportunity for a painter to demonstrate versatility. A zahua album is meant to delight the viewer with variety, as a new subject appears with each turn of the page.The paintings may have been brought together into an album by a collector at a later date, or even perhaps by Chen Zi himself. Comparison of the two men’s work reveals that while Chen Zi worked in his father’s style, he could not match his father’s fluidity or quirky charm.",https://images.metmuseum.org/CRDImages/as/mobile-large/DP160529.jpg,https://www.metmuseum.org/en/art/collection/search/37396
"Orchids, Bamboo, and Rocks",Shitao (Zhu Ruoji),dated 1691,"Shitao arrived in Beijing in 1690 to seek imperial patronage. He soon took Boerdu (1649–1708), great-grandson of the Qing founder Nuerhachi (1559–1626), as his disciple in painting. It was through Boerdu that Shitao contributed to this joint work with the preeminent painter Wang Hui, who left his inscription on the rock. Shitao’s tame representation of bamboo and orchids shows his respect for orthodox courtly taste. In his inscription, written in archaic clerical script, he composed a poem on bamboo and orchids, then added this postscript:Mr. Wen [Boerdu] sent me some paper and asked me to paintorchids and bamboo, adding that a master painter would completethe painting with rock images. Therefore I left a blank area forhis magical final touch. Submitted for Mr. Wen’s instruction.cat. no. 77",https://images.metmuseum.org/CRDImages/as/mobile-large/CLL_77.JPG,https://www.metmuseum.org/en/art/collection/search/76552
Chinese Bow with String,Chinese,17th–19th century,,,https://www.metmuseum.org/en/art/collection/search/30314
Calligraphy after Three Texts by Yan Zhenqing,Wang Shu,dated 1729,,https://images.metmuseum.org/CRDImages/as/mobile-large/sf1986.22_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/36145
Two Poems,Unidentified artist,n. d.,,https://images.metmuseum.org/CRDImages/as/mobile-large/1989_363_34_sec01_CRD.jpg,https://www.metmuseum.org/en/art/collection/search/51870
Boats Moored in Wind and Rain,Unidentified artist,13th century,"Yan Ciyu, to whom this fan was once attributed, is represented today by a single signed album leaf now in the Freer Gallery, Washington, D.C. In contrast to the restrained and dramatic manner of the Freer landscape, which is painted in the blue-and-green style of Li Tang (ca. 1070s–ca. 1150s), the flattish, formalistic design of the Crawford painting, with its heavily outlined trees and rocks and sharply silhouetted hills, is indebted to the stylistic developments of Ma Yuan and Xia Gui (both act. ca. 1190–1225).",https://images.metmuseum.org/CRDImages/as/mobile-large/DT6287.jpg,https://www.metmuseum.org/en/art/collection/search/40088
Lotuses and Poem by Wang Anshi,Xie Zhiliu,ca. 1983,,https://images.metmuseum.org/CRDImages/as/mobile-large/2005_411_11b.jpg,https://www.metmuseum.org/en/art/collection/search/72957
Landscapes in the styles of old masters,Wang Jian,dated 1668,"Wang Jian, teacher of Wang Hui and close friend of Wang Shimin, stands at the center of the group of scholar-artists who endeavored to establish a new orthodoxy in painting through the vigorous study of past masters. In this gemlike album, Wang re-created in miniature scale the idioms of Song (960–1279) and Yuan (1279–1368) dynasty masters. Conscious of his own role as a transmitter, Wang inscribed each leaf with the name of the artist whose style he interpreted together with an appropriate couplet by the Tang dynasty poet Du Fu (712–770).",https://images.metmuseum.org/CRDImages/as/mobile-large/DP161065.jpg,https://www.metmuseum.org/en/art/collection/search/49113
Jacket,Chinese minority (Manchu),last quarter 20th century,,https://images.metmuseum.org/CRDImages/ci/mobile-large/2006.74.20_F.jpg,https://www.metmuseum.org/en/art/collection/search/128414
Herons in a Lotus Pond,Unidentified artist,未知年代,,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-32738-002.jpg,https://www.metmuseum.org/en/art/collection/search/51553
