主体,关系,对象
Plate,作者,possibly_Chinese
Necklace,作者,Muriel_Kallis_Newman
Bo_(鈸_),作者,Chinese
Ko-Tze,作者,Chinese
Dizi_(笛子_),作者,Chinese
Dizi_(笛子_),作者,Chinese
Ko-Tze,作者,Chinese
Ko-Tze,作者,Chinese
Ko-Tze,作者,Chinese
Earrings,作者,Muriel_Kallis_Newman
Chasuble,作者,probably_Chinese
Suona_(嗩吶_),作者,Chinese
Necklace,作者,Muriel_Kallis_Newman
Lapa_(喇叭_),作者,Chinese
Haidi_(海笛_),作者,Chinese
Guqin_(古琴_),作者,Chinese
Guqin_(古琴_),作者,Chinese
"The_Kangxi_Emperor's_Southern_Inspection_Tour,_Scroll_Three:_Ji'nan_to_Mount_Tai",作者,Wang_Hui
Bo_gu_tu,作者,Fu_Wang
"Brush_holder_with_gardenia,_butterfly,_and_dragonfly",作者,Xu_Subai
Woods_and_Valleys_of_Mount_Yu,作者,Ni_Zan
Wang_Xizhi_watching_geese,作者,Qian_Xuan
Biographies_of_Lian_Po_and_Lin_Xiangru,作者,Huang_Tingjian
San_li_tu,作者,Chongyi_Nie
"Three_Women_In_A_Country_Funeral,_Long_Xian,_Shaanxi_Province",作者,Liu_Zheng
Landscapes_with_poems,作者,Gong_Xian
Avenging_the_Dead,作者,Wang_Liuqiu
Brush_holder_with_flowers_and_poems,作者,China
Table_screen_with_landscape,作者,China
Archaistic_tripod_censer_(ding),作者,China
Stem_cup,作者,"China_(Xinjiang_Autonomous_Region,_Central_Asia)"
"Old_Trees,_Level_Distance",作者,Guo_Xi
Helping_Mongolian_Comrades_at_Harvest,作者,Zhang_Wang
Chinese_Children_at_Play,作者,Unidentified_artist
Emperor_Xuanzong's_Flight_to_Shu,作者,Unidentified_artist
"In_the_Street,_from_the_series_City_Diary",作者,He_Weimin
Chessmen_(32),作者,"Chinese,_probably_Beijing"
Famous_Women,作者,Gai_Qi
"Brisé_fan,_with_representations_of_classical_figures_flanking_Venus_and_Cupid",作者,Angelica_Kauffmann
"Plate_with_scene_from_""Les_Oies_de_Frère_Philippe""",作者,Nicolas_Lancret
Treasure_Series_1:_Chinese_Goddess,作者,Yu_Qihui
Chinese_Landscape_Tattoo_No._4,作者,Huang_Yan
Chinese_Landscape_Tattoo_No._2,作者,Huang_Yan
Pair_of_Stirrups,作者,Tibetan_or_Chinese
Ink_Tablet,作者,Xiu_Fangzhai
Ink_Tablet,作者,Xiu_Fangzhai
Autumn_Splendor,作者,Gong_Jufi
Xi_Wang_Mu_with_Feng_Wang,作者,Jiang_Feng
Ink_Tablet_Decorated_with_Mythical_Horse_and_the_Eight_Trigrams,作者,Xiu_Fangzhai
Whistling_Arrowhead,作者,Chinese_or_Tibetan
Ink_Table_with_Tripod_(Ding)_Design,作者,Xiu_Fangzhai
Fragment,作者,"Chinese,_for_export"
Teapot,作者,Abraham_Delfos
Right_Half_of_a_Cantle_Plate_from_a_Saddle,作者,Tibetan_or_Chinese
Mug,作者,Piercy_Brett
Pair_of_mugs,作者,Samuel_Howitt
Plate,作者,Francesco_Albani
Woman_at_her_dressing_table,作者,Leng_Mei
Pair_of_Octagonal_Sticks,作者,China
Barbara_de_Braganza,作者,Chinese_or_Philippine
Landscapes_after_old_masters,作者,Wang_Hui
Set_of_Saddle_Plates,作者,Tibetan_or_Chinese
Huagu,作者,"Chin_Shing_(Golden_Voice)_Store,_Canton"
Gu,作者,"Chin_Shing_(Golden_Voice)_Store,_Canton"
Fernando_VI_of_Spain,作者,Chinese_or_Philippine
Jin_shi_suo,作者,Yunpeng_Feng
Old_Testament_figures,作者,China
Side_Table,作者,China
Miscellaneous_Studies,作者,Chen_Hongshou
Vase_in_the_shape_of_an_archaic_bronze_vessel_(gu),作者,Chen_Jinhou
Ranks_of_New_Recruits,作者,Chen_Yanqiao
The_Immortal_Magu_with_a_deer,作者,Su_Xuejin
Lu_Xun_teaches_about_woodcuts,作者,Chen_Yanqiao
Prisoners,作者,Chen_Yanqiao
Triumphant_soldiers,作者,Chen_Yanqiao
Welcoming_the_People’s_Army,作者,Chen_Yanqiao
Buddhist_monk_Bodhidharma_(Chinese:_Damo),作者,China
Self-portrait_with_Crown_of_Thorns,作者,Chen_Yanqiao
At_the_Front,作者,Chen_Yanqiao
"Illustrated_Six-Character_Poems_of_the_Tang_Dynasty,_one_volume_of_Eight_Kinds_of_Painting_Manuals_(vol._1);_Illustrated_Poems_of_Plants_and_Flowers,_one_volume_of_Eight_Kinds_of_Painting_Manuals_(vol._2)",作者,Cai_Chonghuan
Starvation,作者,Wang_Renfeng
Boy_with_water_buffalo,作者,China
Photograph_of_Jade_Carvers_at_Work,作者,S._Howard_Hansford
Excerpt_from_“Song_of_Leyou_Park”,作者,Zhang_Jizhi
"Photograph_of_Jade_Carvers_at_Work:_The_Tubular_Drill,_Lazuan",作者,S._Howard_Hansford
New_Window_Decoration,作者,Luo_Gongliu
Incense_burner_with_floral_pattern,作者,China
The_Sixteen_Luohans,作者,Wu_Bin
Portrait_of_Qu_Yuan,作者,Yang_Newei_(Yang_Nawei)
Old_Man_Boating_on_a_River,作者,Zha_Shibiao
Landscapes,作者,Fan_Qi
Bamboo_and_Poem,作者,Zheng_Xie
Landscapes,作者,Gong_Xian
Landscape_in_the_style_of_Huang_Gongwang,作者,Mo_Shilong
Relieve_the_Wounded_Soldiers,作者,Liu_Lun
The_Toy_Daddy_had_Brought_Back_from_the_Front,作者,Liu_Lun
Living_Aloft,作者,Wen_Zhengming
"Brisé_Fan,_with_representations_of_Chinese_landscapes",作者,"Chinese,_for_the_European_Market"
Odes_of_the_State_of_Bin:_The_Seventh_Month,作者,Fei_Qinghu_(Fei_Zhaoyang)
The_Last_Bullet,作者,Huangyan_(Zhang_Weiyao)
Anchorage_on_a_rainy_night,作者,Shen_Zhou
A_Collection_of_8-Cocoon_Tussah_Silk_Chops,作者,The_Chefoo_Silk_Association
Landscapes_after_Song_and_Yuan_masters,作者,Lan_Ying
Old_Man,作者,Wang_Shuyi
Barbaric_Bombardment,作者,Zhang_Hui
Landscapes_after_Tang-dynasty_poems,作者,Sheng_Maoye
The_Quarrymen_(Hewing_Rocks),作者,Wang_Qi
Water_dropper_in_the_form_of_a_mythical_creature,作者,China
Poems_from_the_Pavilion_of_Fundamental_Truth_(Zhenyi_Ting),作者,Zhou_Lianggong
Foliated_dish_with_flowers_and_fruits,作者,Wan_Yannian
"Brisé_Fan,_with_representations_of_warriors_in_a_Chinese_landscape,_and_EN_monogram",作者,"Chinese,_for_the_European_Market"
Poem_on_Promulgating_the_Almanac_at_New_Year’s,作者,Wen_Peng
Landscapes_in_the_manner_of_Song_and_Yuan_masters,作者,Yun_Shouping
"Bodhisattva,_probably_Avalokiteshvara_(Guanyin)",作者,China
The_Stronghold_of_War,作者,Li_Jingfang
Dwelling_among_mountains_and_clouds,作者,Gong_Xian
The_Character_of_Characters,作者,Xu_Bing
Censer_in_the_form_of_a_mythical_beast,作者,China
A_Journey_in_Search_of_the_Artist's_Parents,作者,Unidentified_artist
Dish,作者,"Chinese,_for_Continental_European_market"
Tureen_in_the_form_of_a_goose,作者,"Chinese,_made_for_export"
Chasuble,作者,"Chinese,_for_European_market"
Chasuble,作者,"Chinese,_for_European_market"
Plate,作者,"Chinese,_for_British_market"
Punch_bowl,作者,"Chinese,_for_British_market"
Chalice_veil,作者,"Chinese,_for_European_market"
Maniple,作者,"Chinese,_for_European_market"
Wall_panel_with_garden_urns,作者,"Chinese,_for_European_market"
Stole,作者,"Chinese,_for_European_market"
"Brisé_fan,_with_representations_of_pastoral_scenes_flanking_Venus_and_Cupid",作者,"Chinese,_for_British_market"
"Brisé_Cockade_Fan,_with_Painted_Floral_Posy",作者,"Chinese,_for_the_European_Market"
Dish_with_John_the_Baptist,作者,"Chinese,_made_for_export"
Apostle_plate_with_inscription_of_Saint_Phillip,作者,"Chinese,_made_for_export"
Plate_with_a_vase_of_flowers,作者,"Chinese,_for_European_market"
Chasuble,作者,"Chinese,_for_European_market"
Plate_with_figures_in_arbor,作者,Cornelis_Pronk
Teabowl_and_saucer_with_quail_and_peonies,作者,"Chinese,_for_European_market"
Folding_Cabriolet_Fan_with_Scene_of_Figures_in_a_Courtyard_Garden,作者,"Chinese,_for_the_European_Market"
Textile_with_crowned_double_headed_eagles,作者,"Chinese,_Macao,_for_Iberian_market"
"Folding_Cabriolet_Fan_with_Multiple_Scenes_of_Performers,_Landscapes,_and_Figures_in_Courtyard_Gardens",作者,"Chinese,_for_the_European_Market"
Shoes,作者,Chinese_(Han)
Coffeepot,作者,"Chinese,_probably_for_Dutch_market"
Fragment,作者,"Eastern_or_Chinese,_Turkestan"
Bowl_with_dragon,作者,"Chinese,_for_European_market"
Coverlet,作者,"Chinese,_for_European_market"
Piece,作者,"Chinese,_for_French_market"
Piece,作者,"Chinese,_for_French_market"
Piece,作者,"Chinese,_for_French_market"
Bedspread,作者,"Chinese,_for_French_market"
Panel,作者,"Chinese,_for_Portuguese_market"
Piece,作者,"Chinese,_for_French_market"
Coverlet,作者,"Chinese,_for_European_market"
"Panel_with_flowers,_birds,_and_animals",作者,"Chinese,_for_export_market"
Piece,作者,"Chinese,_Macao,_for_Iberian_market"
Piece,作者,"Chinese,_for_French_market"
Piece,作者,"Chinese,_Macao,_for_Iberian_market"
Piece,作者,"Chinese,_for_French_market"
Piece,作者,"Chinese,_for_French_market"
Screen_panel,作者,"Chinese,_for_European_market"
Length,作者,"Chinese,_for_European_market"
Fragment,作者,"Chinese,_for_French_market"
Bedspread,作者,"Chinese,_for_European_market"
Shawl,作者,"Chinese,_for_European_market"
Piece,作者,"Chinese,_Macao,_for_Iberian_market"
Shawl,作者,"Chinese,_for_European_market"
Shawl,作者,"Chinese,_for_European_market"
Shawl,作者,"Chinese,_for_European_market"
Dish,作者,"Chinese,_for_Dutch_market"
Plate,作者,"Chinese,_for_Dutch_market"
"Textile_with_elephants,_crowned_double_headed_eagles,_and_flowers",作者,"Chinese,_Macao,_for_Iberian_market"
Roundel_(plate_center),作者,"Chinese,_for_British_market"
Panel,作者,"Chinese,_for_French_market"
Dish,作者,"Chinese,_for_European_market"
Sauceboat,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_Dutch_market"
Plate,作者,"Chinese,_for_Dutch_market"
Standing_dish,作者,"Chinese,_for_European_market"
Erxian_(_二弦_)_or_yizai,作者,Chinese_(Chaozhou)
Fragment_of_woven_silk,作者,"Chinese,_for_export_market"
Teapot,作者,"Chinese,_for_European_market"
Piece_(one_of_two),作者,"Chinese,_for_European_market"
Cruet,作者,"Chinese,_for_European_market"
Vertical_panel,作者,"Chinese,_for_export_market"
Bed_cover,作者,"Chinese,_for_French_market"
Shawl,作者,"Chinese,_Canton,_for_European_market"
"Brisé_Fan,_with_Simple_Carved_Patterning",作者,"Chinese,_for_the_European_Market"
Pair_of_hall_benches,作者,Chinese_or_British_colonial
Brisé_Cockade_Fan,作者,"Chinese,_for_the_European_Market"
Dish,作者,"Chinese,_for_British_market"
Set_of_six_wall_panels,作者,"Chinese,_for_European_market"
Cup_(part_of_a_service),作者,"Chinese,_for_European_market"
Saucer,作者,"Chinese,_for_Continental_European_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_European_market"
"Brisé_Fan,_with_Representations_of_Pavilions_and_Cranes,_Surrounded_by_Flowers",作者,"Chinese,_for_the_European_Market"
Stem_cup_with_cover,作者,"Chinese,_for_Dutch_market"
Vase,作者,"Chinese,_for_Dutch_market"
"Brisé_Fan,_with_Boating_Landscape_Scene",作者,"Chinese,_for_the_European_Market"
"Brisé_Fan,_with_Figures,_Boats,_and_Pavilions",作者,"Chinese,_for_the_European_Market"
Folding_Fan_with_Scene_of_Figures_in_a_Courtyard_Garden,作者,"Chinese,_for_the_European_Market"
"Brisé_Fan,_with_Simple_Carved_Patterning",作者,"Chinese,_for_the_European_Market"
Laozi_riding_an_ox,作者,Xue_Mingyang
Plate,作者,"Chinese,_for_Dutch_market"
Piece,作者,"Chinese,_Macao,_for_Iberian_market"
Plate,作者,Abraham_Bloemaert
Shawl,作者,"Chinese,_for_European_market"
Cup_(part_of_a_service),作者,Cornelis_Pronk
Piece,作者,"Chinese,_Macao,_for_Iberian_market"
Platter,作者,"Chinese,_for_British_market"
Piece,作者,"Chinese,_Macao,_for_Iberian_market"
Bowl,作者,"Chinese,_for_Dutch_market"
"Brisé_Fan,_with_representations_of_beasts_in_landscapes_flanking_HH_monogram_and_the_name_""Henrietta""",作者,"Chinese,_for_the_European_Market"
"Folding_Fan_with_Trompe_l'Oeil_Representations_of_Fans,_Scrolls,_and_Figure_Groups",作者,"Chinese,_for_the_European_Market"
Stole,作者,probably_Chinese
"Brisé_Fan,_with_Representation_of_a_Lion_Rampant_Armorial,_Flanked_by_Pavilions_in_Landscapes",作者,"Chinese,_for_the_European_Market"
Skirt_panel,作者,"Chinese,_for_French_market"
Plate,作者,"Chinese,_possibly_for_American_market"
Punch_bowl,作者,"Chinese,_for_British_market"
Platter,作者,"Chinese,_for_European_market"
Dish,作者,"Chinese,_for_European_market"
Plate,作者,"Chinese,_for_European_market"
Plate,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_British_market"
Platter,作者,"Chinese,_for_Swedish_market"
Soup_plate,作者,"Chinese,_for_Dutch_market"
Spice_box,作者,"Chinese,_for_European_market"
Cup,作者,"Chinese,_for_European_market"
Plate,作者,"Chinese,_for_British_market"
Basket,作者,"Chinese,_for_European_market"
Vase,作者,"Chinese,_for_European_market"
Cup,作者,"Chinese,_for_British_market"
Dish,作者,"Chinese,_for_European_market"
Platter,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_Dutch_market"
Plate,作者,"Chinese,_for_British_market"
Dish,作者,"Chinese,_for_European_market"
Dish,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_probably_for_American_market"
Dish,作者,"Chinese,_for_Dutch_market"
Platter,作者,"Chinese,_for_American_market"
Basin,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_Continental_European_market"
Plate,作者,"Chinese,_for_Continental_European_market"
Dog,作者,"Chinese,_for_Continental_European_market"
Dish,作者,"Chinese,_for_European_market"
Cup,作者,"Chinese,_for_Scottish_market"
Dish,作者,"Chinese,_for_Continental_European_market"
Plate,作者,"Chinese,_for_British_market"
Vertical_panel,作者,"Chinese,_for_Portuguese_market"
Vertical_panel,作者,"Chinese,_for_Portuguese_market"
Bowl,作者,"Chinese,_for_European_market"
Vertical_panel,作者,"Chinese,_for_Portuguese_market"
Tray,作者,"Chinese,_for_European_market"
Cruet,作者,"Chinese,_for_European_market"
Bowl,作者,"Chinese,_probably_for_European_market"
Saucer,作者,"Chinese,_for_Scottish_market"
Saucer,作者,"Chinese,_for_Continental_European_market"
Spoon_tray,作者,"Chinese,_for_British_market"
Mug,作者,"Chinese,_probably_for_American_market"
Bowl,作者,"Chinese,_for_American_market"
Ewer,作者,"Chinese,_for_European_market"
Punch_bowl,作者,"Chinese,_possibly_for_British_market"
Jug,作者,"Chinese,_for_European_market"
Saucer,作者,"Chinese,_for_American_market"
Bowl,作者,"Chinese,_for_Dutch_market"
Saucer,作者,"Chinese,_for_European_market"
Plate,作者,"Chinese,_for_Swedish_market"
Saucer,作者,"Chinese,_for_European_market"
Vertical_panel,作者,"Chinese,_for_Portuguese_market"
Plate,作者,"Chinese,_for_Continental_European_market"
Length,作者,"Chinese,_for_export_market"
Plate,作者,"Chinese,_for_British_market"
Shawl,作者,"Chinese,_for_European_market"
Vertical_panel,作者,"Chinese,_for_Portuguese_market"
Wine_cooler,作者,"Chinese,_for_Portuguese_market"
Lute,作者,Chinese_(Tibetan)
Maniple,作者,"Chinese,_for_European_market"
Stole,作者,"Chinese,_for_European_market"
Teapot,作者,"Chinese,_probably_for_British_market"
Shawl,作者,"Chinese,_for_European_market"
Bell,作者,probably_Chinese
Chalice_veil,作者,"Chinese,_for_European_market"
Burse,作者,"Chinese,_for_European_market"
Arrowhead,作者,probably_Tibetan_or_Chinese
Arrowhead,作者,probably_Tibetan_or_Chinese
Arrowhead,作者,probably_Tibetan_or_Chinese
Arrowhead,作者,probably_Tibetan_or_Chinese
Arrowhead,作者,probably_Tibetan_or_Chinese
Basin,作者,"Chinese,_for_British_market"
Arrowhead,作者,probably_Tibetan_or_Chinese
Basin,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_European_market"
Plate,作者,Joseph_Wagner
Pommel_Plate,作者,Eastern_Tibetan_or_Chinese
Saddle,作者,Eastern_Tibetan_or_Chinese
Jar_with_the_emblem_of_the_Order_of_Saint_Augustine,作者,"Chinese,_made_for_export"
Panel,作者,"Chinese,_for_French_market"
Dish,作者,"Chinese,_for_Dutch_market"
Tazza,作者,"Chinese,_for_French_market"
Sword_with_Scabbard,作者,probably_Chinese_or_Vietnamese
Plate,作者,"Chinese,_for_Dutch_market"
Pair_of_curtains,作者,"Chinese,_for_French_market"
Valance,作者,"Chinese,_for_French_market"
Plate,作者,"Chinese,_for_British_market"
Dish,作者,"Chinese,_for_European_market"
Cup_with_cover_and_saucer,作者,"Chinese,_possibly_with_British_decoration"
Plate,作者,"Chinese,_probably_for_British_market"
Plate,作者,"Chinese,_for_British_market"
Chop_plate,作者,"Chinese,_for_Portuguese_market"
Platter,作者,"Chinese,_for_Danish_market"
Plate,作者,"Chinese,_for_Portuguese_market"
Dish,作者,"Chinese,_for_Portuguese_market"
Platter,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_Dutch_market"
Plate_(part_of_a_service),作者,"Chinese,_possibly_for_British_market"
Stand,作者,"Chinese,_for_European_market"
Mug,作者,"Chinese,_for_British_market"
Cup,作者,"Chinese,_for_American_market"
Plate,作者,"Chinese,_for_Portuguese_market"
Plate,作者,"Chinese,_for_German_market"
Wall_vase,作者,"Chinese,_for_European_market"
Tea_cup,作者,"Chinese,_for_British_market"
Segmental_dish_(part_of_a_service),作者,"Chinese,_for_German_market"
Basket_stand,作者,"Chinese,_for_European_market"
Segmental_dish_(part_of_a_service),作者,"Chinese,_for_German_market"
Plate,作者,"Chinese,_for_Dutch_market"
Hot_water_plate,作者,"Chinese,_for_Indian_market"
Soup_plate,作者,"Chinese,_probably_for_American_market"
Platter_(part_of_a_service),作者,"Chinese,_for_British_market"
Cup_(part_of_a_set),作者,"Chinese,_for_Danish_market"
Plate_(part_of_a_service),作者,"Chinese,_for_American_market"
Platter_(part_of_a_service),作者,"Chinese,_probably_for_British_market"
Soup_plate_(part_of_a_service),作者,"Chinese,_for_American_market"
Cup_(part_of_a_service),作者,"Chinese,_for_American_market"
Jardinière_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Platter_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Plate_(part_of_a_service),作者,"Chinese,_for_American_market"
Deep_dish_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Tray_(part_of_a_service),作者,"Chinese,_for_American_market"
Platter_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Creamer_(part_of_a_service),作者,"Chinese,_for_American_market"
Platter_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Cover_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Sauceboat_(part_of_a_service),作者,"Chinese,_for_British_market"
Deep_dish_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Platter_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Soup_plate,作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Deep_dish_(part_of_a_set),作者,"Chinese,_for_British_market"
Soup_plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Cup_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Tea_cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Sauceboat_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Salt_dish_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Platter_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Tea_cup_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Deep_dish_(part_of_a_service),作者,"Chinese,_for_British_market"
Stand_(part_of_a_set),作者,"Chinese,_for_European_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Tea_cup,作者,"Chinese,_for_British_market"
Mug_(part_of_a_service),作者,"Chinese,_for_British_market"
Deep_dish,作者,"Chinese,_for_French_market"
Pedestal,作者,"Chinese,_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_European_market"
Cover_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Platter_(part_of_a_service),作者,"Chinese,_for_German_market"
Deep_dish_(part_of_a_service),作者,"Chinese,_probably_for_Swedish_market"
Fruit_basket_(part_of_a_service),作者,"Chinese,_for_British_market"
Mug_(part_of_a_service),作者,"Chinese,_for_British_market"
Platter_(part_of_a_service),作者,"Chinese,_possibly_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Soup_plate,作者,"Chinese,_for_British_market"
Dish_(part_of_a_service),作者,"Chinese,_for_German_market"
Plate_(one_of_two),作者,"Chinese,_for_German_market"
Plate_(one_of_a_pair),作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_European_market"
Charger,作者,"Chinese,_for_British_market"
Plate_(one_of_a_pair),作者,"Chinese,_for_British_market"
Hot_water_plate,作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_Dutch_market"
Cup,作者,"Chinese,_probably_for_Dutch_market"
Platter,作者,"Chinese,_probably_for_American_market"
Dish_(one_of_a_pair),作者,"Chinese,_for_British_market"
Dish_(one_of_a_pair),作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_Dutch_market"
Dish,作者,"Chinese,_for_Dutch_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Saucer_(part_of_a_set),作者,"Chinese,_for_Dutch_market"
Fruit_basket_(part_of_a_service),作者,"Chinese,_for_British_market"
Vase_(part_of_a_garniture),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Danish_market"
Cup_(part_of_a_set),作者,"Chinese,_for_Dutch_market"
Vase_(part_of_a_garniture),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Danish_market"
Chop_plate,作者,"Chinese,_for_European_market"
Soup_plate,作者,"Chinese,_probably_for_American_market"
Gravy_boat_(part_of_a_service),作者,"Chinese,_for_Danish_market"
Platter_(part_of_a_service),作者,"Chinese,_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Danish_market"
Vase_(one_of_two),作者,"Chinese,_for_European_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Vase_(part_of_a_garniture),作者,"Chinese,_for_British_market"
Hot_water_plate,作者,"Chinese,_probably_for_American_market"
Platter,作者,"Chinese,_probably_for_American_market"
Vase_(part_of_a_garniture),作者,"Chinese,_for_British_market"
Plate_(part_of_a_set),作者,"Chinese,_for_British_market"
Vase_(one_of_two),作者,"Chinese,_for_European_market"
Vase_(part_of_a_garniture),作者,"Chinese,_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_for_British_market"
Wall_bracket,作者,"Chinese,_for_European_market"
Two-handled_jardinière,作者,"Chinese,_for_Swedish_market"
Tea_cup_(part_of_a_set),作者,"Chinese,_for_British_market"
Basket_(part_of_a_set),作者,"Chinese,_for_British_market"
Hot_water_plate,作者,"Chinese,_for_American_market"
Plate_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Platter,作者,"Chinese,_for_British_market"
Platter,作者,"Chinese,_probably_for_American_market"
Platter,作者,"Chinese,_for_Portuguese_market"
Platter,作者,"Chinese,_probably_for_American_market"
Creamer_(part_of_a_service),作者,"Chinese,_probably_for_British_market"
Sauceboat_(part_of_a_service),作者,"Chinese,_for_British_market"
Soup_plate,作者,"Chinese,_probably_for_American_market"
Spike_Fiddle,作者,possibly_Chinese
Platters_(3),作者,"Chinese,_for_European_market"
Platter,作者,"Chinese,_probably_for_American_market"
Platter_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Bowl_and_stand,作者,"Chinese,_for_British_market"
Stand,作者,"Chinese,_for_British_market"
Dish_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Cup_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Tea_cup_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Platter_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Plate,作者,"Chinese,_for_Continental_European_market"
Plate,作者,"Chinese,_for_Continental_European_market"
Dinner_plate_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Cup_with_cover,作者,"Chinese,_for_European_market"
Cup_and_saucer,作者,"Chinese,_for_Continental_European_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Cup_with_cover,作者,"Chinese,_for_European_market"
Teapot_with_cover_and_stand,作者,"Chinese,_probably_for_American_market"
Saucer,作者,"Chinese,_for_British_market"
Platter_(part_of_a_service),作者,"Chinese,_for_British_market"
Cup,作者,"Chinese,_possibly_for_British_market"
Sauceboat_tray,作者,"Chinese,_for_European_market"
Soup_plate_(part_of_a_service),作者,"Chinese,_for_British_market"
Plate,作者,"Chinese,_for_British_market"
Plate_(part_of_a_set),作者,"Chinese,_for_British_market"
Cup_(part_of_a_service),作者,"Chinese,_probably_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_probably_for_British_market"
Bowl_(part_of_a_service),作者,"Chinese,_probably_for_British_market"
Serving_dish_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Saucer_(part_of_a_service),作者,"Chinese,_probably_for_British_market"
Saucer,作者,"Chinese,_for_Dutch_market"
Cup_and_saucer,作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Platter,作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Teabowl_and_saucer,作者,"Chinese,_for_European_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Saucer,作者,"Chinese,_for_Dutch_market"
Saucer_(part_of_a_set),作者,"Chinese,_for_British_market"
Basket_tray_(part_of_a_set),作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_Portuguese_market"
Tray_(part_of_a_service),作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_Continental_European_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Saucer_(part_of_a_set),作者,"Chinese,_for_British_market"
Saucer_(part_of_a_service),作者,"Chinese,_for_British_market"
Tray_(part_of_a_service),作者,"Chinese,_for_British_market"
